sureh,ayeh,matn,processed matn
3,196,مبادا تلاش و کوشش و رفت و آمد [تجاری] کافران در شهرها تو را فریب دهد.,مبادا تلاش کوشش تجاری کافر شهر فریب 
5,23,[ولی] دو نفر از مردان خداترس که خداوند به آنها نعمت داده بود گفتند: «شما از دروازه [شهر بر آنان] یورش برید، همین که وارد شدید، پیروز خواهید شد. و بر خدا توکل کنید، اگر ایمان دارید.»,نفر مردان خداترس خداوند نعمت گفت دروازه شهر یورش برد شدید پیروز خواست خدا توکل ایمان داشت 
7,4,چه بسیار شهرها و آبادی‌ها که آنها را [بر اثر گناه فراوان] هلاک کردیم و عذاب ما شب‌هنگام یا در روز، هنگامی که استراحت کرده بودند، به سراغشان آمد.,شهر آبادی گناه فراوان هلاک کرد عذاب شب‌هنگام روز هنگامی‌که استراحت سراغ 
7,82,ولی پاسخ قومش چیزی جز این نبود که گفتند: «اینها را از شهر و آبادی خود بیرون کنید که اینها مردمی هستند که پاکدامنی را می‌طلبند [و با ما هم‌صدا نیستند]!»,پاسخ قومش گفت اینها شهر آبادی اینها مردمی پاکدامنی طلبید هم‌صدا 
7,83,[چون کار به اینجا رسید،] ما، او و خاندانش را رهایی بخشیدیم، جز همسرش که با بازماندگان [در شهر] بود.,کار خاندان رهایی بخشید همسر بازماندگان شهر 
7,94,ما در هیچ شهر و آبادی، پیامبری نفرستادیم، مگر این که اهل آن را به ناراحتی‌ها و خسارت‌ها گرفتار ساختیم، شاید [به خود آیند و به سوی خدا] بازگردند.,شهر آبادی پیامبری فرستاد مگر این‌که اهل ناراحتی خسارت گرفتار ساخت آمد خدا بازگشت 
7,111,[سپس به فرعون] گفتند: «[کار] او و برادرش را به تأخیر انداز و گرد‌آورندگان را به همه‌ی شهرها بفرست.,فرعون گفت کار برادر تأخیر انداز گرد‌آورندگان همه شهر بفرست 
7,123,فرعون گفت: «آیا به او ایمان آوردید، پیش از آن که من به شما اجازه دهم؟ بی‌گمان این توطئه‌ای است که شما در این شهر [و دیار] چیده‌اید تا اهلش را از آن بیرون کنید؛ ولی به زودی خواهید دانست!,فرعون ایمان آورد آن‌که اجازه دهم؟ بی‌گمان توطئه شهر دیار چید اهل کنید؛ زودی خواست 
11,100,[ای پیامبر!] این [مطالب، گوشه‌ای] از اخبار آبادی‌ها و شهرهایی است که ما آن را برای تو بازگو می‌کنیم، بعضی از آنها [هنوز] پابرجا هستند، ولی بعضی دیگر ویران شده‌اند.,ای پیامبر مطالب گوشه اخبار آبادی شهر بازگو پابرجا ویران شد 
11,102,و این چنین است مؤاخذه [و مجازاتِ] پروردگارت، زمانی که شهرها و آبادی‌های ستمگر را [با قهر خود] می‌گیرد. همانا مؤاخذه‌ی او دردناک و شدید است.,این‌چنین مؤاخذه مجازات پروردگار زمانی شهر آبادی ستمگر قهر همانا مؤاخذه دردناک شدید 
12,30,گروهی از زنان شهر [که خبردار شدند، زبان به ملامت گشودند و] گفتند: «همسر عزیز از غلام جوانش تمنّای کامجویی کرده.» «و عشق [این جوان]، در قلب او نفوذ کرده است.» «ما او را در گمراهیِ آشکاری می‌بینیم.»,زنان شهر خبردار زبان ملامت گشود گفت همسر عزیز غلام جوان تمنا کامجویی عشق جوان قلب نفوذ گمراهی آشکاری دید 
14,35,و [به یاد آور] زمانی که ابراهیم گفت: «پروردگارا! این شهر [مکه] را امن قرار ده، و من و فرزندانم را از این که بت‌ها را بپرستیم، دور بدار.,یاد آور زمانی ابراهیم پروردگارا شهر مکه امن قرار ده فرزندان این‌که بت پرستید بدار 
15,60,مگر همسرش را که مقدّر کرده‌ایم از بازماندگان [در شهر و نابودشوندگان‌] باشد.»,مگر همسر مقدر کرد بازماندگان شهر نابودشوندگان 
15,67,و اهل شهر شادی‌کنان [برای تعرض به مهمانان به سوی خانه لوط] آمدند.,اهل شهر شادی‌کنان تعرض مهمانان خانه لوط آمد 
