sureh,ayeh,matn,processed matn
2,187,در شب‌های روزه‌داریِ [ماه رمضان]، آمیزش با همسرانتان برای شما حلال شد. آنها برای شما [همچون] لباسند و شما برای آنها [همچون] لباس. خداوند می‌دانست که شما به خود خیانت می‌کردید [و آمیزش را که ممنوع بود، انجام می‌دادید]، پس توبه‌ی شما را پذیرفت و از شما درگذشت. اکنون [می‌توانید] با آنها همبستر شوید و آنچه را خداوند بر شما مقرّر فرموده، طلب کنید. و بخورید و بیاشامید تا رشته‌ی سپیدِ صبح از رشته‌ی سیاهِ [شب] برای شما آشکار گردد. سپس روزه را تا شب به اتمام رسانید و در حالی که در مساجد به اعتکاف پرداخته‌اید، با زنان آمیزش نکنید. این حدود و احکام الهی است، پس به آن نزدیک نشوید. خداوند این چنین آیات خود را برای مردم روشن می‌سازد، باشد که پرهیزکار گردند.,شب روزه‌داری ماه رمضان آمیزش همسرانتان حلال لباسند لباس خداوند دانست خیانت کرد آمیزش ممنوع انجام داد توبه پذیرفت درگذشت توانست همبستر شد خداوند مقرر فرموده طلب خورد بیاشامید رشته سپید صبح رشته سیاه شب آشکار روزه شب اتمام رساند مساجد اعتکاف پرداخت زنان آمیزش کرد احکام الهی شد خداوند این‌چنین آیات مردم روشن ساخت پرهیزکار گشت 
3,27,تو شب را به روز و روز را به شب درآوری و زنده را از مرده و مرده را از زنده بیرون آوری و به هر کس بخواهی، بی‌شمار روزی می‌دهی.»,شب به‌روز روز شب درآوری زنده مرده مرده زنده کس خواست بی‌شمار روزید داد 
3,41,[زکریا] گفت: «پروردگارا! برای من نشانه‌ای قرار ده». [خداوند] فرمود: «نشانه تو آن است که تا سه روز [زبان تو، از کار می‌افتد و] با مردم سخن نخواهی گفت، مگر با اشاره و رمز. [البتّه به هنگام ذکر خدا زبانت باز می‌شود. پس] پروردگار خود را بسیار یاد کن و شب‌‌هنگام و صبحگاه او را تسبیح بگو.»,زکریا پروردگارا نشانه قرار ده خداوند فرمود نشانه روز زبان کار افتاد مردم سخن خواست مگر اشاره رمز ذکر خدا زبان پروردگار یاد کن شب‌هنگام صبحگاه تسبیح بگو 
3,190,همانا در آفرینش آسمان‌ها و زمین، و در پیِ یکدیگر آمدن شب و روز، نشانه‌هایی برای خردمندان است.,همانا آفرینش آسمان زمین آمدن شب روز نشانه خردمندان 
6,13,و تنها برای اوست آنچه در شب و روز قرار گرفته و او شنوای داناست.,اوست شب روز قرار شنوا داناست 
6,60,و او کسی است که [روح] شما را در شب [به هنگام خواب] می‌گیرد و آنچه را در روز انجام می‌دهید، می‌داند. سپس شما را از خواب برمی‌انگیزد تا مدّت معین [عمر شما] سپری شود. عاقبت، بازگشت شما به سوی اوست. پس شما را به آنچه انجام می‌دهید، خبر می‌دهد.,روح شب خواب روز انجام داد دانست خواب برمی‌انگیزد معین عمر سپری عاقبت بازگشت اوست انجام داد خبر 
6,96,[خداوند،] شکافنده‌ی سپیده دم است، و شب را مایه‌ی آرامش قرار داد و خورشید و ماه را اسباب شمارشِ [ایام]. این است اندازه‌گیری خداوند قدرتمند دانا.,خداوند شکافنده سپیده‌دم شب مایه آرامش قرار خورشید ماه اسباب شمارش ایام اندازه‌گیری خداوند قدرتمند دانا 
7,54,پروردگار شما، خدایی است که آسمان‌ها و زمین را در شش روز [و دوران] آفرید، سپس به تدبیر جهان هستی پرداخت، با [پرده‌ی تاریک] شب، روز را می‌پوشاند و شب به دنبال روز به سرعت در حرکت است و خورشید و ماه و ستارگان را آفرید، در حالی که رام شده فرمان او هستند. آگاه باشید که آفرینش و تدبیر [جهان] برای او [و به فرمان او] است. پر برکت [و زوال‌ناپذیر] است، خدایی که پروردگار جهانیان است.,پروردگار خدایی آسمان زمین روز دوران آفرید تدبیر جهان هستی پرداخت پرده تاریک شب روز پوشاند شب دنبال روز سرعت حرکت خورشید ماه ستارگان آفرید رام فرمان آگاه باشید آفرینش تدبیر جهان فرمان برکت زوال‌ناپذیر خدایی پروردگار جهانیان 
7,142,و ما با موسی، سی شب وعده گذاردیم؛ سپس آن را با ده شب تکمیل نمودیم. به این ترتیب میعاد پروردگارش چهل شب تمام شد. و موسی به برادرش هارون گفت: «جانشین من میان قوم من باش! و [آنها را] اصلاح‌ کن و از روش مفسدان پیروی منما!»,موسی شب وعده گذاردیم؛ ده شب تکمیل نمود میعاد پروردگار چهل شب موسی برادر هارون جانشین قوم باش اصلاح کن مفسد پیروی منما 
10,6,در رفت و آمد شب و روز و در آنچه خداوند در آسمان‌ها و زمین آفریده است، برای مردم پرهیزکار نشانه‌هایی [بزرگ] است.,شب روز خداوند آسمان زمین آفریده مردم پرهیزکار نشانه 
