sureh,ayeh,matn,processed matn
15,26,و به راستی ما [نخستین] انسان را از گِلِ خشکیده‌ای [همچون سفال] که از گِلِ بدبوی [تیره رنگی] گرفته شده بود، آفریدیم.,راستی انسان گل خشکید سفال گل بدبوی تیره رنگید گرفته‌شده آفرید 
16,68,و پروردگارت به زنبور عسل وحی کرد که: «از بعضی کوه‌ها و درختان و از داربست‌هایی که مردم می‌سازند، خانه‌هایی بساز.,پروردگار زنبور عسل وحی کوه درختان داربست مردم ساخت خانه بساز 
16,69,سپس از [گُل] همه‌ی میوه‌ها بخور، آن‌گاه راه‌های پروردگارت را خالصانه طی کن.» از شکم آنها، نوشیدنی رنگارنگ بیرون می‌آید که در آن شفای مردم است. البته در این [زندگی زنبور عسل،] برای کسانی که فکر می‌کنند، قطعاً عبرتی است.,گل همه میوه بخور آن‌گاه راه پروردگار خالصانه کن شکم نوشیدنی رنگارنگ شفای مردم زندگی زنبور عسل قطعا عبرت 
21,31,و در زمین، کوه‌های ثابت و استوار قرار دادیم تا [مبادا زمین] آنها را بلرزاند و در [میان] کوه‌ها، [دره‌هایی گشاده و] راه‌های فراخ پدید آوردیم، شاید که آنها راه یابند.,زمین کوه ثابت استوار قرار داد مبادا زمین بلرزاند کوه دره گشاده راه فراخ پدید آورد یابید 
35,27,آیا ندیده‌ای که خداوند از آسمان، آبی فروفرستاد، پس با آن میوه‌هایی رنگارنگ [از زمین] بیرون آوردیم. و در برخی از کوه‌ها [رگه‌ها و] راه‌هایی است سپید و سرخ، به رنگ‌های گوناگون، و [رگه راه‌هایی] سخت سیاه.,دید خداوند آسمان آبی فروفرستاد میوه رنگارنگ زمین آورد کوه رگه راه سپید سرخ رنگ گوناگون رگه راه سخت سیاه 
43,10,همان که زمین را برای شما محلّ آسایش قرار داد و در آن برای شما راه‌هایی پدید آورد تا شاید راه یابید.,زمین محل آسایش قرار راه پدید یابید 
44,45,همچون مس گداخته، در شکم آنها می‌جوشد.,مس گداخته شکم جوشید 
51,33,تا [برای نابودیشان،] سنگ‌هایی از گل بر آنان فروریزیم.,نابود سنگ گل فروریزیم 
56,18,با جام‌ها و آبریزها و پیاله‌ای از [نوشیدنی‌های گوارا و] روان [از آنان پذیرایی می‌کنند].,جام آبریز پیاله نوشیدنی گوارا روان پذیرایی 
56,19,از آن [نوشیدنی‌ها] نه سردرد می‌گیرند و نه مست می‌شوند.,نوشیدنی سردرد گرفت مست 
69,21,پس او در زندگی رضایت‌بخشی است.,زندگی رضایت‌بخش 
71,20,تا در راه‌های گشاده‌ی آن رفت و آمد کنید.»,راه گشاده 
76,15,گرد آنان ظرف‌های نقره‌فام و تنگ‌های بلورین، [پر از غذا و نوشیدنی] گردانده می‌شود.,گرد ظرف نقره‌فام تنگ بلورین غذا نوشیدنی گردانده 
101,7,پس او در زندگی رضایت‌بخشی است.,زندگی رضایت‌بخش 
