sureh,ayeh,matn,processed matn
2,104,ای کسانی که ایمان آورده‌اید! [هنگامی که از پیامبر تقاضای مهلت برای درک آیات قرآن می‌کنید، به او] نگویید: «راعِنا، مراعاتمان کن!» بلکه بگویید: «اُنظُرنا، ما را در نظر بگیر!» [زیرا راعِنا، به معنای «ما را تحمیق کن» نیز هست و دستاویزی است برای دشمن]؛ و [این توصیه را] بشنوید، و برای کافران عذاب دردناکی است.,ای ایمان آورد هنگامی‌که پیامبر تقاضای مهلت درک آیات قرآن کرد گفت راعنا مراعاتمان کن گفت انظرنا بگیر راعنا معنا تحمیق کن هست دستاویز دشمن؛ توصیه شنفت کافر عذاب دردناکی 
2,152,پس مرا یاد کنید، تا شما را یاد کنم، و برای من شکر کنید و کفران نورزید.,مرا یاد یاد شکر کفران ورزید 
2,198,گناهی بر شما نیست که از فضل پروردگارتان [از راه تجارت در ایام حجّ] بهره گیرید. پس چون از عرفات کوچ کردید، خدا را در مَشعَرالحرام یاد کنید. و او را یاد کنید، به پاس آن که شما را هدایت نمود. و قطعاً شما پیش از این، از گمراهان بودید.,گناهی فضل پروردگار تجارت ایام حج بهره گرفت عرفات کوچ کرد خدا مشعرالحرام یاد یاد پاس آن‌که هدایت نمود قطعا گمراه بود 
2,200,پس چون مناسک [حجّ] خود را انجام دادید، خدا را یاد کنید، همان‌گونه که پدران خویش را یاد می‌کنید، بلکه بیشتر و بهتر از آن. پس بعضی ازمردم کسانی هستند که می‌گویند: «خداوندا! به ما در دنیا عطا کن!» آنان در آخرت بهره‌ای ندارند.,مناسک حج انجام داد خدا یاد همان‌گونه پدران یاد کرد ازمردم خداوندا دنیا عطا کن آخرت بهره 
3,43,ای مریم! برای پروردگارت خضوع کن و سجده به جای آور و با رکوع‌کنندگان رکوع نما!»,ای مریم پروردگار خضوع کن سجده آور رکوع‌کنندگان رکوع نما 
3,45,[به یاد آور] هنگامی که فرشتگان گفتند: «ای مریم! خداوند تو را به کلمه و نشانه‌ای از سوی خویش بشارت می‌دهد که نامش مسیح، عیسی پسر مریم است، او که در دنیا و آخرت آبرومند و از مقرّبان است.,یاد آور هنگامی‌که فرشتگ گفت ای مریم خداوند کلمه نشانه بشارت نام مسیح عیسی پسر مریم دنیا آخرت آبرومند مقرب 
4,84,پس [ای پیامبر!] در راه خدا پیکار کن، [و بدان که] جز انجام وظیفه‌ی خود تکلیفی نداری و مؤمنان را [نیز به جهاد] تشویق کن، باشد که خداوند گزند کافران را [از شما] بازدارد. و خداوند قدرتمندتر و سخت‌کیفرتر است.,پس پیامبر خدا پیکار کن بدان انجام وظیفه تکلیفی نداری مؤمنان جهاد تشویق کن خداوند گزند کافر بازدارد خداوند قدرتمند سخت‌کیفرتر 
7,205,و پروردگارت را از روی تضرّع و خوف، آهسته و آرام، در دل خود و در هر صبح و شام، یاد کن و از غافلان مباش.,پروردگار تضرع خوف آهسته آرام دل صبح شام یاد کن غافل مبا 
12,29,«یوسف! از [افشای] این ماجرا صرف‌نظر کن.» و «تو نیز [ای زن] برای گناهت استغفار کن، که قطعاً از خطاکاران بوده‌ای.»,یوسف افشا ماجرا صرف‌نظر کن نیز زن گناه استغفار کن قطعا خطاکار بود 
15,28,و [یاد کن] آن‌گاه که پروردگارت به فرشتگان گفت: «همانا من بشری را از گِلی خشکیده، سیاه و بدبو خلق می‌کنم.,یاد کن آن‌گاه پروردگار فرشتگ همانا بشری گلی خشکیده سیاه بدبو خلق 
15,94,پس آنچه را بدان مأمور شده‌ای، آشکار کن و از مشرکان روی گردان.,بدان مأمور شد آشکار کن مشرک روی‌گردان 
15,98,پس [برای تقویت خود،] پروردگارت را با سپاس و ستایش، به پاکی یاد کن و از سجده‌کنندگان باش.,تقویت پروردگار سپاس ستایش پاکی یاد کن سجده‌کنندگان باش 
