sureh,ayeh,matn,processed matn
2,2,آن کتاب [با عظمت که] در [حقّانیت] آن هیچ تردیدی راه ندارد، راهنمای پرهیزکاران است.,کتاب عظمت حقانیت تردید راهنمای پرهیزکار 
2,66,ما این مجازات را درس عبرتی برای مردم آن زمان و نسل‌های بعد از آنان، و پندی برای پرهیزکاران قرار دادیم.,مجازات درس عبرت مردم زمان نسل پندی پرهیزکار قرار داد 
2,103,و اگر آنها ایمان آورده و پرهیزکار شده بودند، قطعاً پاداشی که نزد خداست، برای آنان بهتر بود، اگر آگاهی داشتند.,ایمان آورده پرهیزکار قطعا پاداش نزد خداست آگاهی 
2,180,بر شما مقرّر شده که چون [نشانه‌های] مرگ یکی از شما فرارسد، اگر مالی از خود به جای گذارده، برای پدر و مادر و نزدیکان به طور شایسته وصیت کند، این کار، حقّ و شایسته‌ی پرهیزکاران است.,مقرر نشانه مرگ فرارسد مالی گذارده پدر مادر نزدیکان شایسته وصیت کار حق شایسته پرهیزکار 
2,183,ای کسانی که ایمان آورده‌اید! روزه بر شما مقرّر گردید، همان‌گونه که بر کسانی که پیش از شما بودند، مقرّر شده بود، باشد که پرهیزکار شوید.,ای ایمان آورد روزه مقرر گشت همان‌گونه مقرر پرهیزکار شد 
2,241,و برای زنان طلاق داده شده، بهره [و هدیه] مناسبی است که بر مردانِ پرهیزکار سزاوار است.,زنان طلاق داده‌شده بهره هدیه مناسبی مردان پرهیزکار سزاوار 
3,115,و آنچه از اعمال نیک انجام دهند، هرگز بدون پاداش نخواهد ماند و خداوند به [حال] پرهیزکاران داناست.,اعمال نیک انجام هرگز پاداش خواست ماند خداوند پرهیزکار داناست 
3,120,اگر خوبی به شما رسد، آنان را غمگین می‌سازد و اگر بدی به شما رسد، آنها بدان شادمان می‌شوند. و اگر [در برابرشان] صبر کنید و پرهیزکار باشید، حیله‌ی بدخواهانه‌ی آنان هیچ آسیبی به شما نمی‌رساند. خداوند به آنچه انجام می‌دهند، احاطه دارد.,رسید غمگین ساخت بدی رسید بدان شادمان برابر صبر پرهیزکار باشید حیله بدخواهانه‌ی آسیبی رساند خداوند انجام احاطه 
3,133,و بشتابید به سوی آمرزشی از جانب پروردگارتان و بهشتی که وسعت آن به قدر آسمان‌ها و زمین است و برای پرهیزکاران آماده شده است.,شتابید آمرزش جانب پروردگار بهشتی وسعت قدر آسمان زمین پرهیزکار آماده‌شده 
3,138,این [قرآن] برای همه مردم، روشنگر [حقایق] و برای پرهیزکاران [وسیله‌ی] هدایت و پندآموزی است.,قرآن مردم روشنگر حقایق پرهیزکار وسیله هدایت پندآموز 
3,142,آیا گمان دارید که [با ادّعای ایمان] وارد بهشت می‌شوید، در حالی که هنوز خداوند مجاهدان از شما و صابران را معلوم نساخته است؟,گمان داشت ادعای ایمان بهشت شد خداوند مجاهد صابر معلوم نساخته است؟ 
3,172,آنان که دعوت خدا و پیامبر را [برای شرکتِ دوباره در جهاد علیه کفّار] پذیرفتند، با آن که جراحاتی به آنان رسیده بود، برای کسانی از آنها، که نیکی کردند و پرهیزکار بودند، پاداش بزرگی است.,دعوت خدا پیامبر شرکت جهاد کفار پذیرفت آن‌که جراحات رسیده نیکی پرهیزکار پاداش بزرگی 
5,27,و داستان دو فرزند آدم را به درستی بر آنها بخوان. هنگامی که هر کدام کاری برای نزدیکی [به پروردگار] انجام دادند، اما از یکی پذیرفته شد و از دیگری پذیرفته نشد. [قابیل که عملش مردود شده بود، به برادرش هابیل] گفت: «من تو را خواهم کشت.» [هابیل] گفت: «[من چه گناهی دارم؟] خدا تنها از پرهیزکاران می‌پذیرد!,داستان فرزند آدم درستی بخوان هنگامی‌که کاشت نزدیکی پروردگار انجام پذیرفته پذیرفته شد قابیل عمل مردود برادر هابیل خواست کشت هابیل گناهی دارم؟ خدا پرهیزکار پذیرفت 
5,84,و «چرا به خداوند و حقّی که برای ما آمده، ایمان نیاوریم؟ در حالی که امید داریم پروردگارمان ما را همراه صالحان وارد [بهشت] سازد.»,خداوند حقی ایمان نیاوریم؟ امید پروردگار همراه صالحان بهشت ساخت 
6,69,کسانی که پروا پیشه کردند، به گناه ستمکاران بازخواست نخواهند شد، ولی باید آنان را پند دهند تا شاید پرهیزکار شوند.,پروا پیشه گناه ستمکار بازخواست خواست پند پرهیزکار 
6,153,و این که، این راه مستقیم من است، از آن پیروی کنید و از راه‌های مختلف پیروی نکنید، که شما را از راه حق دور می‌سازد. این چیزی است که خداوند شما را به آن سفارش می‌کند تا پرهیزکار شوید.»,این‌که مستقیم پیروی راه مختلف پیروی کرد حق ساخت خداوند سفارش پرهیزکار شد 
7,46,و در میان آن دو [گروه بهشتیان و دوزخیان]، حجابی قرار دارد. و بر اَعراف مردانی هستند که هر یک از آن دو را از سیمایشان می‌شناسند و به بهشتیان ندا می‌دهند که: «درود بر شما باد!» اما داخل بهشت نمی‌شوند، در حالی که امیدِ آن را دارند.,گروه بهشتیان دوزخ حجاب قرار اعراف مردانی سیما شناخت بهشتیان ندا درود باد داخل بهشت شد امید 
7,128,موسی به قوم خود گفت: «از خدا یاری جویید و استقامت پیشه کنید که زمین از آن خداست، و آن را به هر کس بخواهد واگذار می‌کند. و سرانجامِ [نیک] برای پرهیزکاران است.»,موسی قوم خدا یاری جست استقامت پیشه زمین خداست کس خواست واگذار سرانجام نیک پرهیزکار 
9,123,ای کسانی که ایمان آورده‌اید! با کسانی از کفّار که نزدیک شمایند، بجنگید. باید آنان در شما خشونت و صلابت بیابند و بدانید که خداوند، با پرهیزکاران است.,ای ایمان آورد کفار شمایند جنگید خشونت صلابت یابید دانست خداوند پرهیزکار 
16,30,و به پرهیزکاران گفته شد: «پروردگارتان چه نازل کرده است؟» گفتند: خیر» برای کسانی که نیکی کرده‌اند، در این دنیا نیکی است. و قطعاً سرای آخرت بهتر است. و چه نیکوست سرای پرهیزکاران!,پرهیزکار پروردگار نازل است؟ گفت خیر نیکی کرد دنیا نیکی قطعا سرود آخرت نیکوست سرود پرهیزکار 
18,3,برای همیشه در آن [بهشت] ماندگارند.,بهشت ماندگارند 
19,63,این، همان بهشتی است که به هریک از بندگان پرهیزکار خود به میراث می‌دهیم.,بهشتی هریک بندگان پرهیزکار میراث داد 
19,97,پس قرآن را بر زبان تو آسان ساختیم تا پرهیزکاران را به وسیله‌ی آن مژده دهی و مردم ستیزه‌جو را بدان بترسانی.,قرآن زبان آسان ساخت پرهیزکار وسیله مژده داد مردم ستیزه‌جو بدان ترساند 
24,34,به راستی ما به سوی شما آیاتی روشنگر، و از کسانی که پیش از شما بودند، نمونه‌هایی برجسته و تاریخی، و پندی برای پرهیزکاران فرستادیم.,راستی آیات روشنگر نمونه برجسته تاریخی پندی پرهیزکار فرستاد 
25,15,[ای پیامبر!] به مردم بگو: «آیا این [ذلّت و عذاب] بهتر است، یا بهشت جاوِدانی که به پرهیزکاران وعده داده شده، و سزا و سرانجام آنان است؟»,ای پیامبر مردم بگو ذلت عذاب بهشت جاودانی پرهیزکار وعده داده‌شده سزا سرانجام است؟ 
25,24,آن روز، اهل بهشت، جایگاهی خوش و آسایشگاهی نیکو دارند.,روز اهل بهشت جایگاه خوش آسایشگاه نیکو 
26,90,و [آن روز،] بهشت برای پرهیزکاران نزدیک گردد.,روز بهشت پرهیزکار 
28,83,آن سرای آخرت را ما برای کسانی قرار می‌دهیم که خواستار برتری و فساد در زمین نباشند. و سرانجام، [رستگاری] از آنِ پرهیزکاران است.,سرود آخرت قرار داد خواستار برتری فساد زمین باشید سرانجام رستگاری پرهیزکار 
36,26,[سرانجام او را کشتند. و به او] گفته شد: «به بهشت وارد شو!» گفت: «ای کاش قوم من می‌دانستند.,سرانجام کشت بهشت شو ای کاش قوم دانست 
38,49,این، یاد [ما از آنان در دنیا] است. و البتّه برای پرهیزکاران بازگشت‌گاهی نیکو خواهد بود.,یاد دنیا پرهیزکار بازگشت‌گاهی نیکو خواست 
39,57,یا آن که [از شدّت اندوه] بگوید: «اگر خداوند هدایتم کرده بود، از پرهیزکاران بودم.»,آن‌که شدت اندوه گفت خداوند هدا پرهیزکار بود 
39,73,و کسانی که از پروردگارشان پروا داشتند، گروه گروه به سوی بهشت برده می‌شوند. چون نزدیک آن برسند، در حالی که درهای بهشت گشوده شده است، نگهبانان بهشت به آنان می‌گویند: «سلام بر شما! پاک و پسندیده بودید. پس داخل شوید که در آن جاودانه خواهید بود.»,پروردگار پروا گروه گروه بهشت برده رسید در بهشت گشوده نگهبان بهشت سلام پاک پسندیده بود داخل شد جاودانه خواست 
43,35,و هرگونه زینتی [برای آنان فراهم می‌کردیم]، ولی اینها فقط کالای اندک زندگی دنیاست، و آخرت نزد پروردگارت برای پرهیزکاران است.,هرگونه زینتی فراهم کرد اینها کالا اندک زندگی دنیاست آخرت نزد پروردگار پرهیزکار 
43,67,دوستانِ [امروز]، در آن روز با یکدیگر دشمنند، مگر پرهیزکاران.,دوستان امروز روز دشمنند مگر پرهیزکار 
43,70,شما و همسرانتان شادمانه به بهشت درآیید.,همسرانتان شادمانه بهشت درآیید 
44,51,به راستی پرهیزکاران در جایگاهی امن هستند.,راستی پرهیزکار جایگاه امن 
45,19,آنان در برابر [عذاب] خداوند، هرگز از تو دفاع نمی‌کنند و البتّه ستمگران یاور یکدیگرند و خداوند یار پرهیزکاران است.,عذاب خداوند هرگز دفاع کرد ستمگر یاور یکدیگرند خداوند یار پرهیزکار 
50,31,و بهشت را برای تقواپیشگان نزدیک می‌آورند و فاصله‌ای از آنان ندارد.,بهشت تقواپیشگان آورد فاصله 
50,34,به سلامت وارد بهشت شوید! این روزِ جاودانگی است.»,سلامت بهشت شد روز جاودانگی 
50,35,برای اهل بهشت در آنجا هر چه بخواهند آماده است و نزد ما [نعمت‌های] افزون‌تری هست.,اهل بهشت خواست آماده نزد نعمت افزون‌تری هست 
53,15,که بهشتِ امن نزد آن است.,بهشت امن نزد 
56,89,آسایش و رفاه و بهشت پر نعمت، برای او خواهد بود.,آسایش رفاه بهشت نعمت خواست 
76,17,در آن [بهشت]، جامی نوشانده می‌شود که با زنجبیل [گرم و عطرآگین] آمیخته است.,بهشت جامی نوشانده زنجبیل گرم عطرآگین آمیخته 
77,41,همانا پرهیزکاران در سایه‌سارها و [کنار] چشمه‌هایی هستند.,همانا پرهیزکار سایه‌سار چشمه 
84,9,و شادمان به سوی کسانش [در بهشت] بازمی‌گردد.,شادمان کسان بهشت بازمی‌گردد 
88,10,در بهشت برین [جای دارند].,بهشت برین 
89,30,و به بهشت من وارد شو!,بهشت شو 
99,6,در آن روز مردم [به سوی بهشت یا دوزخ‌] پراکنده بازمی‌گردند تا کارهایشان به آنان نشان داده شود.,روز مردم بهشت دوزخ پراکنده بازمی‌گردند کار نشان 
