sureh,ayeh,matn,processed matn
2,112,آری، [بهشت در انحصار هیچ گروهی نیست،] کسی که با اخلاص به خدا روی آورد و نیکوکار باشد، پس پاداش او نزد پروردگار اوست، نه ترسی بر آنهاست و نه غمگین خواهند شد.,آری بهشت انحصار اخلاص خدا نیکوکار پاداش نزد پروردگار اوست ترسید آنهاست غمگین خواست 
2,262,کسانی که اموال خود را در راه خدا انفاق می‌کنند و سپس به دنبال آنچه انفاق کرده‌اند، منّت نمی‌گذارند و آزاری نمی‌رسانند، پاداش آنها نزد پروردگارشان [محفوظ] است و نه ترسی دارند و نه غمگین می‌شوند.,اموال خدا انفاق دنبال انفاق کرد منت گذارد آزاری رساند پاداش نزد پروردگار محفوظ ترسید غمگین 
2,274,کسانی که اموال خود را در شب و روز، پنهان و آشکارا انفاق می‌کنند، اجر و پاداششان نزد پروردگارشان است، و نه ترسی برای آنهاست و نه غمگین می‌شوند.,اموال شب روز پنهان آشکارا انفاق اجر پاداش نزد پروردگار ترسید آنهاست غمگین 
3,145,هیچ کس جز به فرمان خدا نمی‌میرد، [و این] سرنوشتی است تعیین شده. و هر کس پاداش دنیا را بخواهد سهمی از آن به او می‌دهیم، و هرکس پاداش آخرت را بخواهد، سهمی از آن به او می‌دهیم، و به زودی سپاسگزاران را پاداش خواهیم داد.,هیچ‌کس فرمان خدا مرد سرنوشت تعیین‌شده کس پاداش دنیا خواست سهمی داد هرکس پاداش آخرت خواست سهمی داد زودی سپاسگزار پاداش خواست 
3,148,پس خداوند پاداش دنیا و پاداش نیک آخرت را به آنان عطا کرد. و خداوند نیکوکاران را دوست می‌دارد.,خداوند پاداش دنیا پاداش نیک آخرت عطا خداوند نیکوکار دوست داشت 
3,171,[آیندگان را] به نعمت و فضل خدا مژده می‌دهند. و این که خداوند پاداش مؤمنان را تباه نمی‌کند.,آیندگان نعمت فضل خدا مژده این‌که خداوند پاداش مؤمنان تباه کرد 
3,195,پس پروردگارشان دعای آنان را مستجاب کرد [و فرمود:] «هر یک از شما که عملی را انجام دهد، خواه مرد باشد خواه زن، من آن عمل را تباه نمی‌کنم [زیرا در نزد من، همه] شما همنوع و همانند یکدیگرید، پس کسانی که هجرت کردند و از خانه‌هایشان رانده شدند، و در راه من آزار دیدند، و جنگیدند و کشته شدند، قطعاً لغزش‌هایشان را می‌پوشانم و آنها را در باغ‌هایی که نهرها از زیرشان جاری است، وارد می‌کنم. [این] پاداشی است از سوی خداوند. و پاداش نیکو تنها نزد خداست.,پروردگار دعای مستجاب فرمود عملی انجام خواه مرد خواه زن عمل تباه کرد نزد همنوع همانند یکدیگرید هجرت خانه رانده آزار دید جنگید کشته قطعا لغزش پوشاند باغ نهر زیر پاداش خداوند پاداش نیکو نزد خداست 
3,199,و بعضی از اهل کتاب، کسانی هستند که به خداوند و آنچه به سوی شما نازل شده و آنچه به سوی خودشان نازل گردیده، خاشعانه ایمان می‌آورند و آیات الهی را به بهایی اندک معامله نمی‌کنند. پاداش آنها، نزد پروردگارشان است. بی‌گمان خداوند [اعمال بندگان را] به سرعت حساب می‌کند [و پاداش می‌دهد].,اهل کتاب خداوند نازل خودشان نازل گردیده خاشعانه ایمان آورد آیات الهی بهایی اندک معامله کرد پاداش نزد پروردگار بی‌گمان خداوند اعمال بندگان سرعت حساب پاداش 
4,67,و در این صورت یقیناً ما از جانب خود پاداشی بزرگ به آنان می‌دادیم.,صورت یقینا جانب پاداش داد 
4,95,مؤمنانی که بدون بیماری [یا عذر واقعی، از جهاد] کناره می‌گیرند، با مجاهدانی که با اموال و جان‌های خویش در راه خدا پیکار می‌کنند، یکسان نیستند. خداوند مجاهدان با مال و جان را، در رتبه و مقام، بر خانه‌نشینان برتری بخشیده است و به هر یک [به خاطر ایمان و عمل صالح] وعده‌ی [پاداش] نیک داده، ولی جهادکنندگان را بر خانه‌نشینان، به پاداشی بزرگ برتری داده است.,مؤمنان بیماری عذر واقعی جهاد کناره گرفت مجاهدانی اموال جان خدا پیکار یکسان خداوند مجاهد مال جان رتبه مقام خانه‌نشین برتری بخشیده خاطر ایمان عمل صالح وعده پاداش نیک جهادکنندگان خانه‌نشین پاداش برتری 
4,134,هر کس که فقط پاداش دنیا را بخواهد، [بداند که] پاداش دنیا و آخرت نزد خداست. و خداوند همواره شنوای بیناست.,کس پاداش دنیا خواست دانست پاداش دنیا آخرت نزد خداست خداوند شنوا بیناس 
4,173,پس کسانی که ایمان آوردند و کارهای شایسته انجام دادند، خداوند پاداش آنان را کامل می‌دهد و از فضل خویش بر [پاداش] آنها می‌افزاید. و امّا آنان که سرپیچی کردند و تکبّر ورزیدند، خداوند آنان را به عذابی دردناک کیفر می‌دهد و در برابر [قهر] خدا برای خود دوست و یاوری نخواهند یافت.,ایمان آورد کارهای شایسته انجام خداوند پاداش فضل پاداش افزود سرپیچی تکبر ورزید خداوند عذاب دردناک کیفر قهر خدا دوست یاوری خواست 
5,85,پس خداوند به پاس این سخن، به ایشان باغ‌هایی که از پای [درختان] آن نهرها جاری است، پاداش داد، همواره در آن ماندگارند و این است پاداش نیکوکاران.,خداوند پاس سخن باغ پای درختان نهر پاداش ماندگارند پاداش نیکوکار 
