sureh,ayeh,matn,processed matn
2,49,و [نیز به خاطر بیاورید] آن زمان که شما را از چنگال فرعونیان رهایی بخشیدیم، که همواره شما را به بدترین صورت آزار می‌دادند، پسران شما را سر می‌بریدند و زنان شما را [برای کنیزی] زنده نگه می‌داشتند و در این امر، برای شما آزمایشی بزرگ و سخت از طرف پروردگارتان بود.,خاطر بیاورید زمان چنگال فرعون رهایی بخشید بدترین صورت آزار داد پسر سر برید زنان کنیزی زنده نگه داشت آزمایش سخت پروردگار 
7,104,و موسی گفت: «ای فرعون! من فرستاده‌ای از پروردگار جهانیانم.,موسی ای فرعون فرستاد پروردگار جهانیان 
7,106,[فرعون] گفت: «اگر نشانه‌ای آورده‌ای، ارائه بده، اگر از راستگویانی.»,فرعون نشانه آورد ارائه بده راستگویان 
7,109,اطرافیان فرعون گفتند: «بدون شک این ساحر دانایی است!,اطرافیان فرعون گفت شک ساحر دانایی 
8,54,[ای پیامبر! روحیه‌ی مردمِ زمان تو،] همچون خوی و روش فرعونیان و کسانی است که پیش از آنان بودند. آیات پروردگارشان را تکذیب کردند. ما نیز به سزای گناهانشان، هلاکشان ساختیم و فرعونیان را غرق کردیم و همگی ستمگر بودند.,ای پیامبر روحیه مردم زمان خوی فرعون آیات پروردگار تکذیب سزید گناهانشان هلاک ساخت فرعون غرق کرد همگی ستمگر 
10,79,و فرعون گفت: «هر جادوگر کاردانی را نزد من بیاورید.»,فرعون جادوگر کاردانی نزد بیاورید 
10,83,[در آغاز] فقط گروهی اندک از فرزندان قوم موسی، به او ایمان آوردند، در حالی که از فرعون و اشراف آنان ترس داشتند که آنان را شکنجه کنند؛ زیرا فرعون در آن سرزمین، برتری‌جوی و از اسرافکاران بود.,آغاز اندک فرزندان قوم موسی ایمان آورد فرعون اشراف ترس شکنجه کنند؛ فرعون سرزمین برتری‌جو اسرافکاران 
10,88,و موسی گفت: «پروردگارا! تو به فرعون و بزرگان قومش در زندگی دنیا، زینت و اموال بسیار داده‌ای. که [به وسیله‌ی آنها،] مردم را از راه تو گمراه می‌سازند. پروردگارا! اموالشان را نابود کن و دل‌هایشان را سخت گردان؛ زیرا که آنان تا عذاب دردناک را نبینند، ایمان نخواهند آورد.»,موسی پروردگارا فرعون بزرگان قومش زندگی دنیا زینت اموال داده‌ای وسیله مردم گمراه ساخت پروردگارا اموال نابود کن دل سخت گردان؛ عذاب دردناک دید ایمان خواست 
11,97,[او را] به سوی فرعون و اشراف قومش [فرستادیم]، اما آنها از فرمان فرعون پیروی کردند، در حالی که فرمان فرعون مایه‌ی رشد [و نجات] نبود.,فرعون اشراف قومش فرستاد فرمان فرعون پیروی فرمان فرعون مایه نجات 
14,6,و [به یادآور] هنگامی که موسی به قوم خود گفت: «نعمت خداوند را بر خود یاد کنید، آن‌گاه که شما را از فرعونیان نجات داد. آنها که شما را به بدترین نوع، عذاب می‌کردند، پسرانتان را سر می‌بریدند و زنانتان را [برای کنیزی] زنده نگاه می‌داشتند. و در این امور، از طرف پروردگارتان آزمایش بزرگی بود.»,یادآور هنگامی‌که موسی قوم نعمت خداوند یاد آن‌گاه فرعون نجات بدترین عذاب پسرانتان سر برید زنان کنیزی زنده نگاه داشت امور پروردگار آزمایش بزرگی 
17,102,موسی گفت: «تو می‌دانی كه این [معجزات] را فقط پروردگار آسمان‌ها و زمین فرستاده است، برای بصیرت شما. و من تو را ای فرعون! هلاك شده می‌پندارم.»,موسی دانست معجزات پروردگار آسمان زمین فرستاده بصیرت را فرعون هلاک پندارید 
20,24,[ای موسی! اکنون] به سوی فرعون برو، که او سرکشی کرده است.,ای موسی فرعون برو سرکشی 
20,43,به سوی فرعون بروید که او سرکشی کرده است.,فرعون رست سرکشی 
20,49,[فرعون] گفت: «ای موسی! پروردگار شما دو نفر کیست؟!»,فرعون ای موسی پروردگار نفر کیست؟ 
20,51,[فرعون] گفت: «پس حال مردمان دوره‌های نخستین چه می‌شود [که به اینها ایمان نداشتند]؟!»,فرعون مردمان دوره اینها ایمان نداشتند؟ 
20,60,پس فرعون بازگشت و [تمام] مکر و حیله‌ی خود را فراهم آورد، سپس [در روز موعود] بازآمد.,فرعون بازگشت مکر حیله فراهم روز موعود بازآمد 
20,79,و فرعون قوم خود را به گمراهی برد و هیچ هدایت نکرد.,فرعون قوم گمراهی برد هدایت کرد 
20,87,[مردم به موسی] گفتند: «ما به میل و اراده‌ی خود با وعده‌ی تو مخالفت نکردیم، بلکه بارهایی [گران] از زیورآلات قومِ [فرعون] بر دوش ما نهادند، پس ما آنها را [در آتش] افکندیم، آن‌گاه سامِری [نیز] این چنین [طرح] افکند.»,مردم موسی گفت میل اراده وعده مخالفت کرد بار گران زیورآلات قوم فرعون دوش نهاد آتش افکند آن‌گاه سامری این‌چنین طرح افکند 
23,46,به سوی فرعون و اشراف قومش، ولی آنان تکبّر ورزیدند. و آنان مردمی برتری‌جوی و گردنکش بودند.,فرعون اشراف قومش تکبر ورزید مردمی برتری‌جو گردنکش 
26,11,قوم فرعون؛ آیا پروا نمی‌کنند؟»,قوم فرعون؛ پروا نمی‌کنند؟ 
26,18,[فرعون] گفت: «[ای موسی!] آیا ما تو را در کودکی پرورش ندادیم؟ و سالیانی از عمرت را در نزدمان ماندی؟,فرعون ای موسی کودکی پرورش ندادیم؟ سالیانی عمرت نزد ماندی؟ 
26,27,[فرعون] گفت: «قطعاً پیامبرتان که به سوی شما فرستاده شده، سخت دیوانه است!»,فرعون قطعا پیامبر فرستاده‌شده سخت دیوانه 
26,29,[فرعون] گفت: «[ای موسی!] اگر معبودی جز من برگزینی، قطعاً تو را از زندانیان قرار خواهم داد.»,فرعون ای موسی معبود برگزین قطعا زندانیان قرار خواست 
26,34,[فرعون] به اشراف اطرافش گفت: «به‌راستی این مرد، جادوگری کاردان است.,فرعون اشراف اطرافش به‌راستی مرد جادوگری کاردان 
