sureh,ayeh,matn,processed matn
13,30,این چنین ما تو را در میان اُمتی که پیش از آن اُمت‌های دیگری [آمده و] رفته‌اند، به رسالت فرستادیم، تا آنچه را به سوی تو وحی کرده‌ایم، بر آنان تلاوت کنی. در حالی که آنان به خدای رحمان کفر می‌ورزند. بگو: «او پروردگار من است. معبودی جز او نیست. تنها بر او توکل کرده‌ام و بازگشت من به سوی اوست.»,این‌چنین امتی امت رفت رسالت فرستاد وحی کرد تلاوت کرد خدای رحمان کفر ورزید بگو پروردگار معبود توکل کرد بازگشت اوست 
19,18,[مریم به او] گفت: «من از تو به [خدای] رحمان پناه می‌برم، اگر پرهیزكاری [از من دور شو]!»,مریم خدای رحمان پناه برد پرهیزکاری شو 
19,44,ای پدر! شیطان را [با اطاعت از او] پرستش مکن، که شیطان [خدای] رحمان را نافرمان است.,ای پدر شیطان اطاعت پرستش مکن شیطان خدای رحمان نافرمان 
19,45,ای پدر! من می‌ترسم که از جانب [خدای] رحمان عذابی به تو رسد، و تو برای شیطان دوست و یاور باشی.»,ای پدر ترسید جانب خدای رحمان عذاب رسید شیطان دوست یاور باشید 
19,58,آنان پیامبرانی بودند که خداوند بر آنها نعمت [ویژه] ارزانی داشت؛ [پیامبرانی] از نسل آدم و از [فرزندان] کسانی که با نوح [در کشتی] سوارشان کردیم، و از نسل ابراهیم و یعقوب، و از کسانی که هدایت نمودیم و برگزیدیم. هرگاه آیات [خدای] رحمان بر آنان خوانده می‌شد، سجده‌کنان و گریان به خاک می‌افتادند.,پیامبرانی خداوند نعمت ارزانی داشت؛ پیامبرانی نسل آدم فرزندان نوح کشتی سوار کرد نسل ابراهیم یعقوب هدایت نمود برگزیدیم هرگاه آیات خدای رحمان خوانده سجده‌کنان گریان خاک افتاد 
19,69,سپس از هر گروهی، کسانی را که بر [خدای] رحمان سرکش‌تر بودند، جدا خواهیم کرد.,خدای رحمان سرکش جدا خواست 
19,78,آیا او از غیب آگاه است؟ یا از [خدای] رحمان تعهّدی گرفته است؟,غیب آگاه است؟ خدای رحمان تعهد است؟ 
19,85,روزی که ما پرهیزکاران را دسته‌جمعی به سوی [ضیافت خدای] رحمان گردآوریم.,روزید پرهیزکار دسته‌جمعی ضیافت خدای رحمان گردآور 
19,87,[در آن روز،] اختیار شفاعت ندارند مگر کسانی که از نزد [خدای‌] رحمان، پیمانی [بر اذن شفاعت‌] گرفته باشند.,روز اختیار شفاعت مگر نزد خدای رحمان پیمانی اذن شفاعت 
19,88,و [کافران] گفتند: «[خدای] رحمان [برای خود] فرزندی انتخاب کرده است!»,کافر گفت خدای رحمان فرزندی انتخاب 
19,91,زیرا برای [خدای] رحمان، فرزندی قائل شدند.,خدای رحمان فرزندی قائل 
19,92,در حالی که برای [خدای] رحمان، سزاوار نیست که فرزندی برگزیند.,خدای رحمان سزاوار فرزندی برگزیند 
19,96,بی‌گمان کسانی که ایمان آورده و کارهای شایسته انجام داده‌اند، به زودی [خدای] رحمان برای آنان [در دل‌ها] محبّتی قرار می‌دهد.,بی‌گمان ایمان آورده کارهای شایسته انجام داد زودی خدای رحمان دل محبت قرار 
20,5,[خداوند] رحمان بر عرش (تخت فرمانروایی هستی) چیره است.,خداوند رحمان عرش (تخت فرمانروایی هستی) چیره 
20,108,در آن روز، [مردم] از دعوت‌کننده‌ای که [هیچ] انحرافی ندارد، پیروی می‌کنند. [و گوش به صدای اسرافیل هستند.] و همه‌ی صداها در برابر [عظمت خدا] رحمان فرومی‌نشیند. پس جز صدایی آهسته [چیزی‌] نمی‌شنوی.,روز مردم دعوت‌کننده انحرافی پیروی گوش صدای اسرافیل همه صدا عظمت خدا رحمان فرومی‌نشیند صدایی آهسته شنفت 
20,109,در آن روز، شفاعت [هیچ‌کس] سودی ندارد، مگر کسی که [خدای] رحمان به او اجازه دهد و از گفتار او [در مورد شفاعت دیگران‌] راضی باشد.,روز شفاعت هیچ‌کس سودی مگر خدای رحمان اجازه گفتار شفاعت راضی 
21,36,و هرگاه کافران تو را ببینند، کاری جز به مسخره گرفتن تو ندارند، [و با همدیگر می‌گویند:] «آیا این است آن کسی که خدایان شما را [به بدی] یاد می‌کند؟» در حالی که خود، یاد [خدای] رحمان را منکرند [و به او کفر می ورزند].,هرگاه کافر دید کاشت مسخره گرفتن همدیگر خدا بدی یاد می‌کند؟ یاد خدای رحمان منکرند کفر ورزید 
21,42,بگو: «کیست که شما را در شب و روز از [عذاب خدای] رحمان نگاه می‌دارد؟!» امّا آنان از یاد پروردگارشان روی می‌گردانند.,بگو کیست شب روز عذاب خدای رحمان نگاه می‌دارد؟ یاد پروردگار گرداند 
