sureh,ayeh,matn,processed matn
2,202,آنان از آنچه به دست آورده‌اند، بهره و نصیبی دارند و خداوند به سرعت به حساب هر کس می‌رسد.,دست آورد بهره نصیبی خداوند سرعت حساب کس 
4,86,و هرگاه شما را درود و سلامی گفتند، [در پاسخ،] درودی بهتر از آن بگویید یا همان را بازگویید. خداوند همواره بر هر چیزی حساب‌رس است.,هرگاه درود سلامی گفت پاسخ درود گفت بازگویید خداوند حساب‌رس 
6,52,و کسانی را که بامداد و شامگاه پروردگارشان را می‌خوانند، در حالی که رضای او را می‌طلبند، از خود مران. چیزی از حساب آنان بر عهده‌ی تو نیست و از حساب تو نیز چیزی بر عهده آنان نیست که طردشان کنی و در نتیجه ازستمگران شوی.,بامداد شامگاه پروردگار خواند رضای طلبید مران حساب عهده حساب طرد کرد نتیجه ازستمگران شد 
13,21,و کسانی که آنچه را خداوند به پیوند با آن فرمان داده، پیوند می‌دهند و در برابر پروردگارشان [خشوع و] هراس دارند و از سختی حساب می‌ترسند.,خداوند پیوند فرمان پیوند پروردگار خشوع هراس سختی حساب ترسید 
13,41,مگر ندیدند که ما به سراغ زمین می‌آییم، در حالی که از اطرافش آن را می‌کاهیم؟ خداوند حکم می‌کند و هیچ تجدیدنظرکننده‌ای برای حکم او نیست. و او سریعاً به حساب همه می‌رسد.,مگر دید سراغ زمین آمد اطرافش می‌کاهیم؟ خداوند حکم تجدیدنظرکننده‌ای حکم سریعا حساب 
14,41,پروردگارا! مرا و پدر و مادرم را و مؤمنان را، روزی که حساب برپا می‌شود، ببخشای!»,پروردگارا مرا پدر مادرم مؤمنان روزید حساب برپا ببخشای 
14,42,خداوند را از آنچه ستمگران انجام می‌دهند، غافل مپندار. همانا او [کیفر و حساب] آنان را برای روزی به تأخیر می‌اندازد که چشم‌ها [از حیرت و وحشتِ] آن روز خیره می‌ماند.,خداوند ستمگر انجام غافل مپندار همانا کیفر حساب روزید تأخیر انداخت چشم حیرت وحشت روز خیره ماند 
14,51,[مجرمان کیفر می‌شوند] تا خداوند به هر کس سزای آنچه را کسب کرده، بدهد، چرا که خداوند حساب‌رسی سریع است.,مجر کیفر خداوند کس سزید کسب داد خداوند حساب‌رسی سریع 
18,12,سپس آنان را برانگیختیم [و بیدارشان کردیم] تا معلوم سازیم کدام یک از آن دو گروه، مدّت خواب و درنگ خود را دقیق‌تر حساب می‌کند.,برانگیختیم بیدار کرد معلوم ساخت کدام‌یک گروه خواب درنگ دقیق حساب 
19,84,پس بر [عذاب] آنان شتاب مکن. ما حساب آنها را شماره می‌کنیم [تا موعدشان فرارسد و به کیفر آنچه مرتکب می‌شدند، برسند].,عذاب شتاب مکن حساب شماره موعد فرارسد کیفر مرتکب شد رسید 
19,94,قطعاً آنان را برشمرده و حساب آنها را درست نگه داشته است.,قطعا برشمرده حساب درست نگه 
21,1,[هنگام] حساب مردم نزدیک شده است، در حالی که آنان در بی‌خبری، [از آن] روی‌گردانند!,حساب مردم بی‌خبری روی‌گردانند 
23,117,و هر کس با خداوند، معبود دیگری را بخواند، هیچ برهانی بر کار خود ندارد. پس قطعاً حساب او نزد پروردگارش خواهد بود. بی‌گمان کافران رستگار نمی‌شوند.,کس خداوند معبود خواند برهانی کار قطعا حساب نزد پروردگار خواست بی‌گمان کافر رستگار شد 
24,39,و اعمال کسانی که کافر شدند، همچون سرابی در بیابان است که تشنه، آن را آب می‌پندارد؛ [امّا] همین که به سراغ آن می‌آید، آن را چیزی نمی‌یابد، و خدا را نزد آن می‌یابد که حساب او را بی‌کم و کاست می‌دهد. و خداوند زود به حساب‌ها می‌رسد.,اعمال کافر سراب بیابان تشنه آب می‌پندارد؛ سراغ یابید خدا نزد حساب بی‌کم کاست خداوند زود حساب 
25,23,ما به [حساب‌] هر کاری که کرده‌اند، می‌پردازیم، و آن را غباری پراکنده می‌سازیم.,حساب کاشت کرد پرداخت غباری پراکنده ساخت 
26,113,حساب آنان تنها با پروردگار من است، اگر شما بفهمید!,حساب پروردگار فهمید 
33,39,[همان] کسانی که پیام‌های الهی را ابلاغ می‌کنند و از خدا می‌ترسند، و از هیچ‌کس جز خدا بیم ندارند. و خداوند برای حساب‌رسی کافی است.,پیام الهی ابلاغ خدا ترسید هیچ‌کس خدا بیم خداوند حساب‌رسی 
38,16,و [با تمسخر و غرور] گفتند: «پروردگارا! پیش از [فرارسیدن] روز حساب، سهم ما را [از عذاب] هرچه زودتر به ما بده!»,تمسخر غرور گفت پروردگارا فرارسیدن روز حساب عذاب هرچه زودتر بده 
38,39,«[ای سلیمان!] این بخشش بی‌حساب ماست. به هرکس می‌خواهی ببخش، یا دریغ کن.»,ای سلیمان بخشش بی‌حساب ماست هرکس خواست ببخش دریغ کن 
38,53,این است آنچه برای روز حساب به شما وعده داده می‌شود.,روز حساب وعده 
40,17,امروز، هر کس برابر آنچه به دست آورده است، پاداش داده می‌شود. امروز هیچ ظلمی نیست. خداوند به حساب [بندگانش] زود می‌رسد.,امروز کس دست آورده پاداش امروز ظلم خداوند حساب بندگانش زود 
40,27,و موسی گفت: «من به پروردگارم و پروردگار شما پناه می‌برم از [شرّ] هر متکبّری که به روز حساب ایمان ندارد.»,موسی پروردگار پروردگار پناه برد شر متکبری به‌روز حساب ایمان 
40,83,پس چون پیامبرانشان دلایل روشن برای آنان آوردند، به اندک دانشی که نزد خود داشتند، شادمان شدند، [و منطق پیامبران را به حساب نیاوردند.] و آنچه [از قهر الهی] که همواره به تمسخر می‌گرفتند، آنان را فراگرفت.,پیامبرانشان دلایل روشن آورد اندک دانشی نزد شادمان منطق پیامبر حساب نیاوردند قهر الهی تمسخر گرفت فراگرفت 
55,31,ای جنّ و انس! به زودی به [حساب] شما می‌پردازیم.,ای جن انس زودی حساب پرداخت 
65,8,و چه بسیار آبادی‌ها که [مردمش] از فرمان پروردگار خود و فرستادگانش سر باز زدند، پس ما سخت به حساب آنان رسیدیم و به عذابی ناشناخته عذابشان کردیم.,آبادی مردم فرمان پروردگار فرستادگانش سر زد سخت حساب رسید عذاب ناشناخته عذاب کرد 
69,20,من می‌دانستم که با حساب خود رو‌به‌رو خواهم شد.»,دانست حساب رو‌به‌رو خواست 
78,27,آنان بودند که به حساب [قیامت] امید و باوری نداشتند.,حساب قیامت امید باوری داشت 
78,29,[ولی] ما حساب همه چیز را درکتابی داشتیم.,حساب درکتابی داشت 
78,36,[این] پاداشی [است] از سوی پروردگارت؛ بخششی حساب شده.,پاداش پروردگارت؛ بخششی حساب‌شده 
