sureh,ayeh,matn,processed matn
2,162,[آنان برای] همیشه در آن [لعنت و دوری از رحمت پروردگار] باقی می‌مانند، نه از عذابِ آنان کاسته می‌شود و نه مهلت داده می‌شوند.,لعنت دوری رحمت پروردگار باقی ماند عذاب کاسته مهلت 
2,175,آنها کسانی هستند که گمراهی را به بهای از دست دادن هدایت و عذاب را به جای آمرزش خریدند. پس به راستی چقدر در برابر عذاب خداوند تحمّل دارند؟,گمراهی بهای دست هدایت عذاب آمرزش خرید راستی چقدر عذاب خداوند تحمل دارند؟ 
3,88,آنان همواره در این لعن [و دوری از رحمت خداوند] می‌مانند، نه عذاب از آنان کاسته گردد و نه به آنها مهلت داده شود.,لعن دوری رحمت خداوند ماند عذاب کاسته مهلت 
3,178,و کسانی که کافر شدند، مپندارند مهلتی که به آنان می‌دهیم، برایشان خوب است، ما به آنان مهلت می‌دهیم تا بر گناه [خود] بیافزایند و برای آنان عذابی خوارکننده است.,کافر مپندارند مهلتی داد برایشان مهلت داد گناه بیافزایند عذاب خوارکننده 
3,182,آن [عذاب] به سبب دستاورد پیشین خودتان است. و[گر نه] خداوند نسبت به بندگان، ستمگر نیست.,عذاب دستاورد پیشین خودتان وگر خداوند بندگان ستمگر 
3,188,گمان مبر کسانی که از اعمال [زشت] خود شادمان می‌شوند، و دوست دارند برای کار [نیک]ی که نکرده‌اند، ستایش شوند، از عذاب الهی رسته‌اند، [بلکه] برای آنها عذابی دردناک است.,گمان مبر اعمال زشت شادمان دوست کار نیکی کرد ستایش عذاب الهی رست عذاب دردناک 
4,138,[ای پیامبر!] منافقان را به عذابی دردناک مژده بده.,ای پیامبر منافق عذاب دردناک مژده بده 
4,151,آنان به راستی کافرند و ما برای کافران عذابی خوارکننده آماده کرده‌ایم.,راستی کافرند کافر عذاب خوارکننده آماده کرد 
4,161,و [نیز این مجازات] به سبب رباخواری آنها بود كه از آن نهی شده بودند و نیز به سبب خوردن مال مردم به ناحقّ. و برای كافرانِشان عذاب دردناكی فراهم ساخته‌ایم.,مجازات رباخواری نهی خوردن مال مردم ناحق کافرانشان عذاب دردناکی فراهم ساخت 
5,118,[خدایا!] اگر عذابشان کنی، آنان بندگان تو هستند. و اگر آنان را بیامرزی، همانا تو خود توانمند و حکیمی.»,خدایا عذاب کرد بندگان بیامرزی همانا توانمند حکیمی 
6,15,بگو: «اگر پروردگارم را نافرمانی کنم، از عذاب روزی بزرگ بیمناکم.,بگو پروردگار نافرمانی عذاب روزید بیمناک 
6,16,در آن روز، از هر کس عذاب الهی برداشته شود، قطعاً مشمول رحمت الهی شده و این است رستگاری آشکار.»,روز کس عذاب الهی برداشته قطعا مشمول رحمت الهی رستگاری آشکار 
7,39,و پیشوایان آنها به پیروان خود می‌گویند: «شما امتیازی بر ما ندارید، پس بچشید عذاب [الهی] را در برابر آنچه انجام می‌دادید.»,پیشوا پیروان امتیازی داشت چشید عذاب الهی انجام داد 
7,165,اما چون تذکراتی را که به آنها داده شده بود، فراموش کردند، نهی‌کنندگانِ از بدی را رهایی بخشیدیم. و آنها را که ستم کردند، به خاطر نافرمانی‌شان به عذاب شدیدی گرفتار ساختیم.,تذکرات داده‌شده فراموش نهی‌کنندگان بدی رهایی بخشید ستم خاطر نافرمانی عذاب شدید گرفتار ساخت 
8,32,و [به یاد آور] زمانی که مخالفان گفتند: «خدایا! اگر این [اسلام وقرآن] همان حقِ‌ّ از جانب توست، پس بر ما از آسمان سنگ‌هایی ببار یا عذابی دردناک برای ما بیاور!»,یاد آور زمانی مخالف گفت خدایا اسلام وقرآن حق جانب توس آسمان سنگ ببار عذاب دردناک بیاور 
8,33,و[لی] تا تو در میان مردم هستی، خداوند بر آن نیست که آنان را عذاب کند و تا آنان استغفار می‌کنند، خداوند عذاب کننده آنان نیست.,مردم هستی خداوند عذاب استغفار خداوند عذاب 
