sureh,ayeh,matn,processed matn
2,24,پس اگر این کار را نکردید، که هرگز نتوانید کرد، از آتشی بترسید که هیزمش مردم [گناهکار] و سنگ‌ها هستند و برای کافران مهیا شده است.,کار کرد هرگز توانست آتشی ترسید هیزم مردم گناهکار سنگ کافر مهیا 
6,55,و ما بدین‌گونه آیات را [برای مردم] به روشنی بیان می‌کنیم، [تا حقّ، آشکار] و راه و رسم گناهکاران روشن شود.,بدین‌گونه آیات مردم روشنی حق آشکار رسم گناهکار روشن 
7,61,گفت: «ای قوم من! هیچ گمراهی در من نیست، بلکه من فرستاده پروردگار جهانیانم.,ای قوم گمراهی فرستاده پروردگار جهانیان 
8,46,و از خداوند و فرستاده‌اش اطاعت کنید و با یکدیگر نزاع نکنید که سست می‌شوید و مهابت و قوّتتان از بین می‌رود و صبر کنید. خداوند با صابران است.,خداوند فرستاده اطاعت نزاع کرد سست شد مهابت قوت صبر خداوند صابر 
11,70,پس چون دید که دست آنان به سمت غذا دراز نمی‌شود، نسبت به آنان ناخشنود شد و ترسی از آنان در دل او افتاد، امّا میهمانان گفتند: «نترس! ما برای قوم لوط فرستاده شده‌ایم.»,دید دست غذا دراز ناخشنود ترسید دل افتاد میهمان گفت نترس قوم لوط فرستاده شد 
15,58,گفتند: «ما به سوی قومی تبهکار فرستاده شده‌ایم [تا آنان را هلاک کنیم].,گفت قومی تبهکار فرستاده شد هلاک 
18,53,و گناهکاران آتش دوزخ را می‌بینند، پس درمی‌یابند که در آن خواهند افتاد و راه فراری از آن نمی‌یابند.,گناهکار آتش دوزخ دید درمی‌یابند خواست افتاد فراری یابید 
20,74,چنین است که هرکس گناهکار و مجرم نزد پروردگار خود بیاید، دوزخ برای اوست، نه در آن می‌میرد و نه [با خوشی] زندگی می‌کند.,هرکس گناهکار مجرم نزد پروردگار بیاید دوزخ اوست مرد خوشی زندگی 
21,5,[کافران] گفتند: « [آنچه محمّد آورده است، وحی نیست؛] بلکه خواب‌های آشفته است. بلکه آنها را به دروغ به خدا نسبت داده، بلکه او یک شاعر است، پس باید همان‌گونه که [پیامبران] پیشین [با معجزه] فرستاده شده بودند، او [نیز] برای ما معجزه‌ای بیاورد.»,کافر گفت محمد آورده وحی نیست؛ خواب آشفته دروغ خدا شاعر همان‌گونه پیامبر پیشین معجزه فرستاده‌شده معجزه بیاورد 
25,31,و ما این‌گونه برای هر پیامبری، دشمنی از گناهکاران قرار دادیم. و پروردگارت برای راهنمایی و یاری تو بس است.,این‌گونه پیامبری دشمنی گناهکار قرار داد پروردگار راهنمایی یاری بس 
26,16,به سراغ فرعون بروید و بگویید: «ما فرستاده‌ی پروردگار جهانیانیم.,سراغ فرعون رست گفت فرستاده پروردگار جهانیان 
26,192,و البتّه این [قرآن] فرستاده پروردگار جهانیان است.,قرآن فرستاده پروردگار جهانیان 
26,200,ما این‌گونه قرآن را [با بیانی رسا و روشن] در دل‌های گناهکاران عبور دادیم،,این‌گونه قرآن بیانی رسا روشن دل گناهکار عبور داد 
27,12,و دستت را در گریبانت کن؛ تا بدون هیچ عیبی، سپید و درخشان بیرون آید، [این معجزه] در زمره‌ی معجزات نُه‌گانه است [که تو با آنها] به سوی فرعون و قومش [فرستاده می‌شوی] که آنان قومی فاسق‌اند.»,دستت گریبان کن؛ عیبی سپید درخشان آمد معجزه زمره معجزات نه‌گانه فرعون قومش فرستاده شد قومی فاسق‌اند 
28,78,[قارون] گفت: «این [ثروت فراوان] را فقط به خاطر دانشی که نزد من است، به من داده‌اند.» او نمی‌دانست که خداوند، پیش از او از میان نسل‌ها، کسانی را نابود کرده است، که از او نیرومندتر و مال‌اندوزتر بودند؟ و گناهکاران، از گناهشان پرسیده نمی‌شوند [و عذاب خداوند ناگهان فرود می‌آید].,قارون ثروت فراوان خاطر دانشی نزد داد دانست خداوند نسل نابود نیرومند مال‌اندوز بودند؟ گناهکار گناه پرسیده شد عذاب خداوند ناگهان فرود 
34,32,[امّا] مستکبران به زیردستان می‌گویند: «آیا ما شما را از هدایتی که به سراغتان آمد، بازداشتیم؟ [نه!] بلکه شما خود گناهکار بودید.»,مستکبر زیردستان هدایت سراغ بازداشتیم؟ گناهکار بود 
36,14,آن‌گاه که دو نفر [از پیامبران خود] را به سوی آنان فرستادیم، پس تکذیبشان کردند، سپس با سومین [پیامبر، آن دو را] تقویت کردیم. پس گفتند: «ما [از طرف خدا] به سوی شما فرستاده شده‌ایم.»,آن‌گاه نفر پیامبر فرستاد تکذیب سومین پیامبر تقویت کرد گفت خدا فرستاده شد 
36,16,[پیامبران] گفتند: «پروردگار ما می‌داند که ما به سوی شما فرستاده شده‌ایم.,پیامبر گفت پروردگار دانست فرستاده شد 
