sureh,ayeh,matn,processed matn
4,121,آنان، جایگاهشان دوزخ است و از آن راه گریزی نمی‌یابند.,جایگاه دوزخ گریخت یابید 
5,29,من می‌خواهم تو با بارِ گناه [کشتن] من و گناه خودت [به سوی خدا] بازگردی و از دوزخیان گردی. و همین است سزای ستمکاران!»,خواست گناه کشتن گناه خودت خدا بازگشت دوزخ گردی سزید ستمکار 
7,50,و دوزخیان، بهشتیان را صدا می‌زنند که: «مقداری آب یا از آنچه خدا به شما روزی داده، به ما ببخشید.» آنها می‌گویند: «خداوند اینها را بر کافران حرام کرده است.»,دوزخ بهشتیان صدا زد مقداری آب خدا روزید بخشید خداوند اینها کافر حرام 
9,68,خداوند به مردان و زنان منافق و به کافران، وعده‌ی آتش دوزخ را داده، که پیوسته در آن خواهند بود. آن [دوزخ] برایشان بس است و خداوند آنان را لعنت کرده [و از لطف خویش دور ساخته] و برایشان عذابی پایدار است.,خداوند مردان زنان منافق کافر وعده آتش دوزخ پیوسته خواست دوزخ برایشان بس خداوند لعنت لطف ساخته برایشان عذاب پایدار 
14,16,عاقبتِ این [ستمگرِ لجوج] دوزخ است. و از آبی بدبو و چرکین نوشانده می‌شود.,عاقبت ستمگر لجوج دوزخ آبی بدبو چرکین نوشانده 
18,100,و آن روز، دوزخ را چنان که باید، بر کافران عرضه خواهیم کرد.,روز دوزخ چنان‌که کافر عرضه خواست 
19,71,و همه‌ی شما وارد دوزخ می‌شوید. [این امر] از جانب پروردگارت حکمی است قطعی.,همه دوزخ شد جانب پروردگار حکمی قطعی 
19,86,و مجرمان را تشنه به سوی دوزخ می‌رانیم.,مجر تشنه دوزخ راند 
21,98,[به آنان گفته می‌شود:] «شما و هر آنچه که جز خدا می‌پرستید، هیزم دوزخ خواهد بود. [و قطعاً] در آن وارد خواهید شد.»,خدا پرستید هیزم دوزخ خواست قطعا خواست 
21,99,اگر اینها خدایان [راستین] بودند، وارد آن [دوزخ] نمی‌شدند، در حالی که همگی برای همیشه در آن ماندگار خواهند بود.,اینها خدا راستین دوزخ شد همگی ماندگار خواست 
23,107,پروردگارا! ما را از دوزخ بیرون آور! اگر بار دیگر [به کفر و گناه] بازگشتیم، قطعاً ستمگریم. [و سزاوار عذاب!]»,پروردگارا دوزخ آور کفر گناه بازگشت قطعا ستمگر سزاوار عذاب 
26,94,پس همه‌ی معبودان و عابدان گمراه، به دوزخ سرنگون شوند.,همه معبود عابد گمراه دوزخ سرنگون 
26,95,و لشکریان ابلیس نیز همگی [به دوزخ افکنده شوند].,لشکریان ابلیس همگی دوزخ افکنده 
26,96,و آنان در دوزخ در حالی که با هم مشاجره می‌کنند، می‌گویند:,دوزخ مشاجره 
37,23,با آنچه به جای خدا می‌پرستیدند، پس همه را به راه دوزخ راهنمایی کنید.,خدا پرستید دوزخ راهنمایی 
37,55,پس از حال او اطّلاع می‌یابد، و او را در میان دوزخ می‌بیند.,اطلاع دوزخ دید 
37,57,و اگر نعمت [و لطف] پروردگارم نبود، قطعاً [من نیز] از احضارشدگان [در دوزخ] بودم.»,نعمت لطف پروردگار قطعا احضارشدگان دوزخ بود 
37,64,این درخت از قعر دوزخ می‌روید.,درخت قعر دوزخ رست 
37,66,پس دوزخیان از آن می‌خورند و شکم‌ها را از آن پر می‌کنند.,دوزخ خورد شکم 
37,68,پس بازگشت آنان به سوی دوزخ است.,بازگشت دوزخ 
37,163,مگر کسی را که خودش [با اراده و اختیار] به دنبال دوزخ باشد.,مگر اراده اختیار دنبال دوزخ 
38,56,دوزخ، که در آن وارد می‌شوند. چه بد بستری است!,دوزخ بد بستری 
38,85,که دوزخ را از تو، و تمام کسانی که از تو پیروی کنند، پر خواهم کرد.»,دوزخ پیروی خواست 
39,71,و کسانی که کافر شدند، دسته دسته به سوی دوزخ رانده می‌شوند. چون نزدیک آن برسند، درهای دوزخ گشوده می‌شود و نگهبانان آن به ایشان می‌گویند: «آیا از میان شما پیامبرانی به سراغتان نیامدند، تا آیات پروردگارتان را بر شما بخوانند و شما را به دیدار چنین روزی هشدار دهند؟» می‌گویند: چرا، [آنان آمدند؛ و ما نپذیرفتیم و تکذیبشان کردیم،] ولی [حالا دیگر عذر و توبه‌ی ما سودی ندارد، چون که‌] فرمان عذاب بر کافران تحقّق یافته است.»,کافر دسته‌دسته دوزخ رانده رسید در دوزخ گشوده نگهبان پیامبرانی سراغ نیامدند آیات پروردگار خواند دیدار روزید هشدار دهند؟ آمدند؛ پذیرفت تکذیب کرد عذر توبه سودی فرمان عذاب کافر تحقق‌یافته 
39,72,[نگهبانان دوزخ] به آنان می‌گویند: «از درهای دوزخ وارد شوید که جاودانه در آن خواهید بود. پس چه بد است منزلگاه متکبّران!»,نگهبان دوزخ در دوزخ شد جاودانه خواست بد منزلگاه متکبر 
40,11,[کافران] می‌گویند: «پروردگارا! ما را دو بار میراندی و دو بار زنده کردی. اینک به گناهان خود اعتراف کردیم؛ پس آیا برای بیرون رفتن [از دوزخ] راهی هست؟»,کافر پروردگارا راند زنده کردی اینک گناه اعتراف کردیم؛ رفتن دوزخ راهی هست؟ 
40,49,و کسانی که در دوزخند، به نگهبانان دوزخ می‌گویند: «از پروردگارتان بخواهید که یک روز از عذاب ما بکاهد.»,دوزخند نگهبان دوزخ پروردگار خواست روز عذاب کاست 
40,50,[نگهبانان دوزخ در پاسخ] می‌گویند: «آیا پیامبرانتان دلایل روشن برای شما نیاوردند؟!» می‌گویند: «چرا!» می‌گویند: «پس [خدا را] بخوانید، و دعا کنید. ولی دعای کافران در گمراهی است. [و به اجابت نمی‌رسد.]»,نگهبان دوزخ پاسخ پیامبرانتان دلایل روشن نیاوردند؟ خدا خواند دعا دعای کافر گمراهی اجابت رسید 
40,74,به جای خداوند می‌پرستیدید؟!» [دوزخیان] می‌گویند: «آنها را گم کرده‌ایم، بلکه [انگار] ما در دنیا چیزی را نمی‌پرستیدیم!» این‌گونه خداوند کافران را گمراه می‌کند.,خداوند می‌پرستیدید؟ دوزخ گم کرد انگار دنیا پرستید این‌گونه خداوند کافر گمراه 
41,20,تا چون به دوزخ برسند، گوش و چشمان و پوستشان به آنچه می‌کردند، گواهی می‌دهند.,دوزخ رسید گوش چشمان پوست گواهی 
41,21,و [دوزخیان] به پوست [بدن] خود می‌گویند: «چرا علیه ما گواهی دادید؟» می‌گویند: «خداوند ما را به سخن آورد. همان که هر چیز را به سخن می‌آورد. او که نخستین بار شما را آفرید، و فقط به سوی او برگردانده می‌شوید.»,دوزخ پوست بدن گواهی دادید؟ خداوند سخن سخن آورد آفرید برگردانده شد 
44,47,[به مأموران دوزخ گفته می‌شود:] «این گنه‌کار را بگیرید، و او را به وسط آتش سوزان دوزخ بکشانید.,مأمور دوزخ گنه‌کار گرفت وسط آتش سوزان دوزخ کشاند 
50,24,[خداوند می‌فرماید:] «هر کفرپیشه‌ی لجوجی را به دوزخ افکنید!,خداوند فرمود کفرپیشه لجوج دوزخ افکند 
50,29,فرمان [افکندن کافر در دوزخ،] نزد من تغییر نمی‌یابد و من هرگز به بندگانم ستم نکنم.»,فرمان افکندن کافر دوزخ نزد یابید هرگز بندگان ستم کرد 
55,41,تبهکاران، به سیمایشان شناخته می‌شوند، پس آنان را به موهای پیش سر و به پاهایشان می‌گیرند [و به دوزخ می‌افکنند.],تبهکار سیما شناخته موهای سر پا گرفت دوزخ افکند 
56,94,و ورود به دوزخ [جزای اوست].,ورود دوزخ جزا اوست 
59,20,دوزخیان و بهشتیان برابر نیستند. بهشتیانند که رستگارند.,دوزخ بهشتیان بهشتیانند رستگارند 
67,8,نزدیک است [دوزخ] از شدّت خشم، پاره پاره شود. هرگاه گروهی [از دوزخیان] در آن افکنده شوند، نگهبانان دوزخ از آنان می‌پرسند: «آیا هشداردهنده‌ای به سراغ شما نیامد؟»,دوزخ شدت خشم پاره‌پاره هرگاه دوزخ افکنده نگهبان دوزخ پرسید هشداردهنده سراغ نیامد؟ 
74,30,بر آن [دوزخ]، نوزده نفر گماشته شده‌اند.,دوزخ نوزده نفر گماشته شد 
74,35,که این [دوزخ]، یکی از بزرگترین پدیده‌هاست.,دوزخ بزرگ پدیده‌هاست 
74,42,«چه چیزی شما را روانه‌ی [دوزخ] سقر کرد؟»,روانه دوزخ سقر کرد؟ 
77,29,[آن روز خداوند به مجرمان می‌فرماید:] «بی‌درنگ بروید به سوی [دوزخ!] همان چیزی که پیوسته تکذیبش می‌کردید.,روز خداوند مجر فرمود بی‌درنگ رست دوزخ پیوسته تکذیب کرد 
77,32,دوزخ، شراره‌هایی [بلند] چون کاخ پرتاب می‌کند.,دوزخ شراره بلند کاخ پرتاب 
78,21,همانا دوزخ، کمین‌گاهی است.,همانا دوزخ کمین‌گاهی 
78,24,در آن [دوزخ]، نه چیز خنکی می‌چشند و نه آشامیدنی [گوارایی]،,دوزخ خنکی چشید آشامیدنی گوارایی 
79,36,و دوزخ برای هر بیننده‌ای آشکار شود.,دوزخ بیننده آشکار 
83,16,سپس به دوزخ وارد خواهند شد.,دوزخ خواست 
84,12,و وارد دوزخ خواهد شد.,دوزخ خواست 
102,6,قطعاً دوزخ را خواهید دید.,قطعا دوزخ خواست دید 
