sureh,ayeh,matn,processed matn
4,98,مگر مردان و زنان و کودکان مستضعفی که [برای نجات از محیط کفر،‌] قدرت تدبیر و چاره‌جویی ندارند و راهی [برای هجرت] نمی‌یابند.,مگر مردان زنان کودک مستضعف نجات محیط کفر قدرت تدبیر چاره‌جویی راهی هجرت یابید 
5,36,کسانی که کافر شدند، اگر تمام آنچه در زمین است و همانند آن، مال آنها باشد و همه آن را برای نجات از مجازات روز قیامت بدهند، از آنان پذیرفته نخواهد شد و مجازات دردناکی خواهند داشت.,کافر زمین همانند مال نجات مجازات روز قیامت داد پذیرفته خواست مجازات دردناکی خواست 
6,63,بگو: «چه کسی شما را از تاریکی‌های خشکی و دریا نجات می‌دهد؟ وقتی که او را آشکارا و پنهان می‌خوانید. [و می‌گویید:]» اگر خدا ما را از این ظلمت رهایی دهد، از شکرگزاران خواهیم بود.»,بگو تاریکی خشکی دریا نجات می‌دهد؟ وقتی‌که آشکارا پنهان خواند گفت خدا ظلمت رهایی شکرگزار خواست 
6,64,بگو: «خدا شما را از این ظلمت‌ها و از هر ناگواری دیگر نجات می‌دهد، باز شما شرک می‌ورزید.»,بگو خدا ظلمت ناگواری نجات شرک ورزید 
7,141,[به خاطر بیاورید] زمانی که از [چنگال] فرعونیان نجاتتان بخشیدیم. آنها که مرتباً شما را شکنجه می‌دادند، پسرانتان را می‌کشتند و زنانتان را [برای خدمتکاری] زنده می‌گذاشتند، و در این، آزمایش بزرگی از ناحیه خدا برای شما بود.,خاطر بیاورید زمانی چنگال فرعون نجات بخشید مرتبا شکنجه داد پسرانتان کشت زنان خدمتکاری زنده گذاشت آزمایش بزرگی ناحیه خدا 
10,54,اگر برای هر کس که ستم کرده، آنچه در زمین است، می‌بود، قطعاً همه‌ی آن را برای [نجات از قهر الهی و] بازخرید خود می‌داد. آنان با دیدن عذاب، پشیمانی خود را پنهان می‌کنند، و میانشان به عدالت داوری می‌شود و بر آنان ستم نرود.,کس ستم زمین بود قطعا همه نجات قهر الهی بازخرید داد دیدن عذاب پشیمانی پنهان میان عدالت داوری ستم رفت 
10,73,پس او را تکذیب کردند. آنگاه ما، او و کسانی را که در کشتی همراه او بودند، نجات دادیم و آنان را جانشینِ [در زمین] قرار دادیم. و همه‌ی کسانی که آیات ما را تکذیب کردند، غرق ساختیم. پس بنگر که پایانِ کارِ هشدار داده‌شدگان چگونه بود!,تکذیب آنگاه کشتی همراه نجات داد جانشین زمین قرار داد همه آیات تکذیب غرق ساخت بنگر پایان کار هشدار داده‌شدگان 
10,92,پس امروز جسد تو را [از آب] نجات می‌دهیم تا عبرتی برای آیندگان باشی. یقیناً بسیاری از مردم از نشانه‌های ما غافلند!,امروز جسد آب نجات داد عبرت آیندگان باشید یقینا مردم نشانه غافلند 
11,58,و زمانی که فرمان [قهر] ما آمد، هود و کسانی را که با او ایمان آورده بودند، به رحمت خود نجات دادیم و از عذاب سخت رهایشان ساختیم.,زمانی فرمان قهر هود ایمان آورده رحمت نجات داد عذاب سخت رهایشان ساخت 
11,66,چون فرمان ما آمد، صالح و کسانی را که به همراه او ایمان آورده بودند، به رحمت خود نجات دادیم و از خواری آن روز [رهایی بخشیدیم. ای رسول ما!] همانا پروردگارت، همان توانای شکست‌ناپذیر است.,فرمان صالح همراه ایمان آورده رحمت نجات داد خواری روز رهایی بخشید ای رسول همانا پروردگار توانای شکست‌ناپذیر 
