sureh,ayeh,matn,processed matn
2,219,از تو درباره شراب و قمار می‌پرسند، بگو: «در آن دو، گناه و زیان بزرگی است و منافعی [مادّی] نیز برای مردم دارند؛ و[لی] گناه آن دو از سودشان بیشتر است». [همچنین] از تو می‌پرسند که چه انفاق کنند؟ بگو: «افزون [بر نیاز خود را]» خداوند این چنین آیات را برای شما روشن می‌سازد تا شاید بیندیشید.,شراب قمار پرسید بگو گناه زیان بزرگی منافع مادی مردم دارند؛ گناه سود پرسید انفاق کنند؟ بگو افزون خداوند این‌چنین آیات روشن ساخت بیندیشید 
5,101,ای کسانی که ایمان آورده‌اید! از اموری که اگر برایتان آشکار شود، ناراحتتان می‌کند، نپرسید. و اگر هنگام نزول قرآن از آنها سؤال کنید، برایتان روشن می‌شود. خداوند از سؤال‌های نابجای شما گذشت و خدا آمرزنده بردبار است.,ای ایمان آورد امور برا آشکار ناراحت پرسید نزول قرآن سؤال برا روشن خداوند سؤال نابجای گذشت خدا آمرزنده بردبار 
5,102,[از این‌گونه سؤال‌ها] گروهی از پیشینیان نیز پرسیدند و [چون طاقت عمل نداشتند،] نسبت به آن منکر و کافر شدند.,این‌گونه سؤال پیشینیان پرسید طاقت عمل داشت منکر کافر 
7,187,از تو درباره‌ی قیامت می‌پرسند که چه وقت به پا می‌شود؟ بگو: «علم آن تنها نزد پروردگار من است، جز او کسی نمی‌تواند زمان آن را آشکار سازد. [فرا رسیدن قیامت،] در آسمان‌ها و زمین سنگین است. جز به صورت ناگهانی پیش نمی‌آید.» از تو چنان می‌پرسند که گویا از [زمان] آن آگاهی کامل داری! بگو: «علم آن تنها نزد خداست؛ ولی بیشتر مردم نمی‌دانند.»,درباره قیامت پرسید وقت پا می‌شود؟ بگو علم نزد پروردگار توانست زمان آشکار ساخت فرا قیامت آسمان زمین سنگین صورت ناگهانی آمد چنان پرسید گویا زمان آگاهی داشت بگو علم نزد خداست؛ مردم دانست 
9,65,اگر از منافقان [دلیل تمسخرشان را] بپرسی، قطعاً می‌گویند: «ما فقط شوخی و بازی می‌کردیم [، غرضی نداشتیم].» بگو: «آیا خداوند و آیات او و پیامبرش را مسخره می‌کردید!؟»,منافق دلیل تمسخر پرسید قطعا شوخی بازی کرد غرض داشت بگو خداوند آیات پیامبر مسخره می‌کردید؟ 
9,127,و هر گاه سوره‌ای نازل شود، بعضی از آنان به بعضی دیگر نگاه کنند [و بپرسند:] «آیا کسی شما را می‌بیند؟» [مخفیانه از حضور پیامبر] خارج می‌شوند. خداوند دل‌های آنان را [از حق] برگردانده است، زیرا آنان مردم نفهمی هستند.,سوره نازل نگاه پرسید می‌بیند؟ مخفیانه حضور پیامبر خارج خداوند دل حق برگردانده مردم فهمید 
16,43,و ما قبل از تو نیز، جز مردانی که به آنها وحی می‌کردیم، نفرستادیم. [به آنها از آمدن تو تعجب می‌کنند. بگو:] «اگر نمی‌دانید، از اهل ذکر بپرسید.»,مردانی وحی کرد فرستاد آمدن تعجب بگو دانست اهل ذکر پرسید 
17,85,و از تو درباره‌ی روح می‌پرسند. بگو: «روح از امر پروردگارم [و مربوط به او] است. و از دانش جز اندكی به شما نداده‌اند.»,درباره روح پرسید بگو روح پروردگار دانش اندکی داد 
18,76,[موسی] گفت: «اگر از این پس چیزی از تو پرسیدم، دیگر با من همراه مباش، قطعاً از سوی من معذور خواهی بود.»,موسی پرسید همراه مبا قطعا معذور خواست 
18,83,و از تو درباره ذوالقرنین می‌پرسند. بگو: «به زودی بخشی از سرگذشت او را برای شما خواهم خواند.»,ذوالقرنین پرسید بگو زودی سرگذشت خواست خواند 
19,26,پس [از آن رطب] بخور و [از آب نهر] بنوش و چشمت را [به داشتن فرزند] روشن بدار. پس اگر کسی از آدمیان را دیدی، [که درباره‌ی نوزاد می‌پرسند، با اشاره] بگو: «من برای [خداوند] رحمان، روزه‌ی سکوت نذر کرده‌ام، بنابراین امروز با هیچ انسانی سخن نخواهم گفت.»,رطب بخور آب نهر بنو چشمت فرزند روشن بدار آدمیان دید درباره نوزاد پرسید اشاره بگو خداوند رحمان روزه سکوت نذر کرد امروز انسانی سخن خواست 
