sureh,ayeh,matn,processed matn
5,58,و هنگامی که [اذان می‌گویید و مردم را] به نماز فرامی‌خوانید، آن را به مسخره و بازی می‌گیرند. این به خاطر آن است که آنها گروهی هستند که نمی‌اندیشند.,هنگامی‌که اذان گفت مردم نماز فرامی‌خوانید مسخره بازی گرفت خاطر اندیشید 
6,5,پس همین که حقّ برای آنان آمد، آن را تکذیب کردند، پس به زودی خبرهای مهم [و تلخ درباره‌ی کیفر] آنچه را به مسخره می‌گرفتند، به سراغشان خواهد آمد.,حق تکذیب زودی خبرهای تلخ درباره کیفر مسخره گرفت سراغ خواست 
6,10,و قطعاً پیامبرانی پیش از تو هم استهزا شدند، پس عذابی که به استهزای آن می‌پرداختند، بر مسخره‌کنندگان از ایشان فرودآمد.,قطعا پیامبرانی استهزا عذاب استهزا پرداخت مسخره‌کنندگان فرودآمد 
11,38,و [نوح] مشغول ساختن کشتی شد. [امّا] هر زمان که گروهی از قومش بر او می‌گذشتند، او را مسخره می‌کردند. [او] گفت: «اگر شما ما را مسخره کنید، ما [نیز] همین‌گونه شما را مسخره خواهیم کرد.,نوح مشغول ساختن کشتی زمان قومش گذشت مسخره مسخره همین‌گونه مسخره خواست 
16,34,پس کیفر بدی‌هایی که انجام دادند، به آنان رسید. و آنچه که آنان به مسخره می‌گرفتند، آنان را فراگرفت.,کیفر بدی انجام مسخره گرفت فراگرفت 
18,106,این است که کیفر آنان دوزخ است، به خاطر کفری که ورزیدند و آیات من و فرستادگانم را به مسخره گرفتند.,کیفر دوزخ خاطر کفری ورزید آیات فرستادگانم مسخره گرفت 
21,41,و همانا پیامبران پیش از تو [نیز] مورد استهزا قرار گرفتند. امّا [سرانجام،] آنچه استهزا می‌کردند، دامان مسخره‌کنندگان را گرفت [و مجازات الهی آنها را در هم کوبید]!,همانا پیامبر استهزا قرار گرفت سرانجام استهزا دامان مسخره‌کنندگان مجازات الهی کفت 
23,110,[امّا] شما آنان را به مسخره گرفتید تا آن که [سرگرمی شما به تمسخر آنان‌] یاد مرا از خاطرتان برد، و شما همواره به آنان می‌خندیدید.,مسخره گرفت آن‌که سرگرمی تمسخر یاد مرا خاطر برد خندید 
25,41,و هرگاه تو را ببینند، جز به مسخره‌ات نگیرند: «آیا این همان کسی است که خداوند او را پیامبر قرار داده است؟,هرگاه دید مسخره گرفت خداوند پیامبر قرار است؟ 
26,6,پس آنان تکذیب کردند، و به زودی اخبار [کیفر] آنچه به مسخره می‌گرفتند، به آنان خواهد رسید.,تکذیب زودی اخبار کیفر مسخره گرفت خواست 
