sureh,ayeh,matn,processed matn
3,50,من تصدیق‌کننده‌ی توراتی هستم که پیش روی من است و [آمده‌ام] تا برخی از چیزهایی را که بر شما [به عنوان تنبیه] حرام شده بود، برایتان حلال کنم. و از جانب پروردگارتان برای شما نشانه‌ای آورده‌ام. پس، از خداوند پروا و از من اطاعت کنید.,تصدیق‌کننده توراتی  آمد چیزهایی عنوان تنبیه حرام برا حلال جانب پروردگار نشانه آورد خداوند پروا اطاعت 
3,123,و همانا خداوند شما را در جنگ بدر در حالی که ناتوان بودید، یاری کرد، پس از خداوند پروا کنید، باشد که سپاسگزاری نمایید.,همانا خداوند جنگ بدر ناتوان بود یاری خداوند پروا سپاسگزاری نمایید 
3,132,و خدا و رسول را اطاعت کنید، شاید مورد رحمت قرار گیرید.,خدا رسول اطاعت رحمت قرار گرفت 
4,59,ای کسانی که ایمان آورده‌اید! خدا را اطاعت کنید و از پیامبر و صاحبان امر خویش [که جانشینان معصوم پیامبرند] اطاعت کنید. و اگر درباره‌ی چیزی نزاع کردید، آن را به [حکم] خدا و پیامبر بازگردانید، اگر به خدا و قیامت ایمان دارید. این [رجوع به قرآن و سنّت برای حلّ اختلاف] بهتر و پایانش نیکوتر است.,ای ایمان آورد خدا اطاعت پیامبر صاحبان جانشین معصوم پیامبرند اطاعت درباره نزاع کرد حکم خدا پیامبر بازگردانید خدا قیامت ایمان داشت رجوع قرآن سنت اختلاف پایان نیکو 
4,69,و کسانی که از خدا و پیامبر اطاعت کنند، [در قیامت] با کسانی همدم خواهند بود که خداوند بر آنان نعمت داده است: پیامبران، صِدّیقان، شهیدان و صالحان. و اینان چه رفیقان خوبی هستند!,خدا پیامبر اطاعت قیامت همدم خواست خداوند نعمت پیامبر صدیقان شهیدان صالحان اینان رفیقان 
4,80,هر کس از پیامبر اطاعت کند، بی‌شک خداوند را اطاعت کرده است. و هر که روی گرداند و سر باز زند، ما تو را بر او نگهبان نفرستاده‌ایم [و تو در برابر او، مسئول نیستی].,کس پیامبر اطاعت بی‌شک خداوند اطاعت گرداند سر زند نگهبان فرستاد مسئول نیستی 
5,92,و خدا را اطاعت کنید و پیامبر را فرمانبردار باشید و [از نافرمانی] بپرهیزید. پس اگر روی‌گردان شدید بدانید که وظیفه‌ی رسول ما ابلاغ آشکار است.,خدا اطاعت پیامبر فرمانبردار باشید نافرمانی پرهیخت روی‌گردان شدید دانست وظیفه رسول ابلاغ آشکار 
8,1,[ای پیامبر!] از تو درباره‌ی اَنفال [غنائم جنگی و اموال عمومی] می‌پرسند. بگو: «اَنفال، از آنِ خدا و پیامبر است. پس، از خداوند پروا کنید و [روابط] میان خودتان را اصلاح کنید و اگر ایمان دارید، از خدا و رسولش اطاعت کنید.»,ای پیامبر درباره انفال غنائم جنگی اموال عمومی پرسید بگو انفال خدا پیامبر خداوند پروا روابط خودتان اصلاح ایمان داشت خدا رسول اطاعت 
20,90,و البته هارون پیش از این به آنان گفته بود: «ای قوم من! شما قطعاً با آن [گوساله]، مورد آزمایش قرار گرفته‌اید و همانا پروردگار شما، [خداوند] رحمان است، پس از من پیروی کنید و دستور مرا اطاعت نمایید.»,هارون ای قوم قطعا گوساله آزمایش قرار گرفت همانا پروردگار خداوند رحمان پیروی دستور مرا اطاعت نمایید 
23,34,و اگر از بشری همانند خودتان اطاعت کنید، قطعاً زیانکارید.,بشری همانند خودتان اطاعت قطعا زیانکارید 
