sureh,ayeh,matn,processed matn
1,4,[خدایی که] مالک روز جزاست.,خدایی مالک روز جزاست 
2,65,قطعاً از [سرنوشت] کسانی از شما که در روز شنبه، نافرمانی کردند [و به جای تعطیل کردن این روز، دنبال کار رفتند،] آگاهید، ما به آنان گفتیم: «به شکل بوزینه‌هایی طرد شده درآیید!»,قطعا سرنوشت روز شنبه نافرمانی تعطیل روز دنبال کار رفت آگهید گفت شکل بوزینه طرد درآیید 
7,163,و از آنها درباره‌ی [سرگذشت] شهری که در ساحل دریا بود، سؤال کن. و [به خاطر بیاور] هنگامی را که آنها در روز شنبه، [در برابر قانون خدا] تجاوز [و طغیان] می‌کردند. همان هنگام که ماهیانشان روز شنبه [که روز تعطیل و استراحتشان بود،] آشکار می‌شدند؛ اما در غیر روز شنبه به سراغ آنها نمی‌آمدند. این‌گونه آنها را به چیزی آزمایش کردیم که در برابر آن نافرمانی می‌کردند.,درباره سرگذشت شهری ساحل دریا سؤال کن خاطر بیاور هنگامی روز شنبه قانون خدا تجاوز طغیان ماهیان روز شنبه روز تعطیل استراحت آشکار می‌شدند؛ روز شنبه سراغ آمد این‌گونه آزمایش کرد نافرمانی 
10,45,و روزی که خداوند آنان را محشور می‌کند، گویا جز ساعتی از روز را [در دنیا یا برزخ] نمانده‌اند. آن روز یکدیگر را می‌شناسند. قطعاً آنان که دیدار خدا را تکذیب کردند، زیان‌کار شدند و هرگز هدایت‌یافته نبوده‌اند.,روزید خداوند محشور گویا ساعتی روز دنیا برزخ ماند روز شناخت قطعا دیدار خدا تکذیب زیان‌کار هرگز هدایت‌یافته بود 
11,104,و ما، آن [روز] را جز تا زمانی چند، به تأخیر نمی‌اندازیم.,روز زمانی تأخیر انداخت 
14,49,و در آن روز مجرمان را می‌بینی که در غل و زنجیر به هم بسته شده‌اند.,روز مجر دید غل زنجیر بسته شد 
15,35,و البتّه تا روز جزا بر تو لعنت خواهد بود.»,روز جزا لعنت خواست 
19,39,و آنان را از روز ندامت و حسرت، [روز رستاخیز‌] بترسان، آن هنگام که کار تمام شود [و همه چیز پایان یابد؛ ولی اکنون] آنان در غفلتند و ایمان نمی‌آورند.,روز ندامت حسرت روز رستاخیز بترسان کار پایان یابد؛ غفلتند ایمان آورد 
20,59,[موسی]گفت: «وعده‌گاه [ما و] شما، روز زینت، [روز عید،] و در وقت نیمروز، که همه‌ی مردم جمع شده باشند.»,موسیگفت وعده‌گاه روز زینت روز عید وقت نیمروز همه مردم 
20,111,و [در آن روز] همه‌ی چهره‌ها در برابر خداوندِ زنده‌ی پاینده، خوار و فروتن می‌شود و البتّه هر کس که بار ستم برداشت، نومید و زیانکار است.,روز همه چهره خداوند زنده پاینده خوار فروتن کس ستم برداشت نومید زیانکار 
21,103,بزرگ‌ترین وحشت [آن روز]، آنان را غمگین [و مضطرب] نمی‌سازد و فرشتگان به [پیشواز و] ملاقات آنان می‌روند [و می‌گویند:] « این است روزِ شما! که به شما وعده می‌دادند.»,بزرگ وحشت روز غمگین مضطرب ساخت فرشتگ پیشواز ملاقات رفت روز وعده داد 
22,28,تا منافع گوناگون خود را [از برکت این سفر معنوی‌] مشاهده کنند، و نام خدا را در روزهایی معین بر دام‌های زبان بسته‌ای که روزیشان شده، ذکر کنند. پس [چون قربانی کردید،] از [گوشت] آنها بخورید و بینوای فقیر را [نیز] بخورانید.,منافع گوناگون برکت سفر معنوی مشاهده نام خدا روز معین دام زبان بسته‌ای روز ذکر قربانی کرد گوشت خورد بینوا فقیر بخورانید 
23,113,می‌گویند: «یک روز یا بخشی از یک روز، پس از شمارندگان [خود] بپرس!»,روز روز شمارندگان بپرس 
24,25,آن روز، خداوند جزای حقّ آنان را بی‌کم و کاست خواهد داد. و آنان خواهند دانست که خداوند همان حقیقت آشکار است.,روز خداوند جزا حق بی‌کم کاست خواست خواست خداوند حقیقت آشکار 
26,82,و او كسی است كه امید دارم روز جزا، خطاهای مرا ببخشد.,امید داشت روز جزا خطا مرا بخشید 
26,156,و به آن آسیبی نرسانید که عذاب روز سهمگین، شما را فرامی‌گیرد.»,آسیبی رساند عذاب روز سهمگین فرامی‌گیرد 
26,189,پس شعیب را تکذیب کردند. و عذابِ روزِ سایبان آنان را فراگرفت. [سایبانی از ابر سیاه و صاعقه‌خیز که بر سر آنها آتش می‌بارید،] آن، عذابِ روز بزرگ و هولناکی بود.,شعیب تکذیب عذاب روز سایبان فراگرفت سایبان ابر سیاه صاعقه‌خیز سر آتش بارید عذاب روز هولناک 
28,72,بگو: «آیا اندیشیده‌اید که اگر خداوند، روز را بر شما تا روز رستاخیز جاوِدان بدارد، کدام معبودی جز اللّه برای شما شب خواهد آورد، تا در آن آرامش [و آسایش] یابید؟ پس آیا نمی‌نگرید؟»,بگو اندیشید خداوند روز روز رستاخیز جاودان داشت معبود الله شب خواست آرامش آسایش یابید؟ نمی‌نگرید؟ 
29,55,روزی که عذاب از بالای سرشان و از زیر پاهایشان آنان را فراگیرد. [در آن روز خداوند] می‌فرماید: «بچشید [جزای] کارهایی را که انجام داده‌اید!»,روزید عذاب بالای سرشان پا فراگرفت روز خداوند فرمود چشید جزا کارهایی انجام داد 
37,20,و می‌گویند: «وای بر ما! این روز جزاست!»,وای روز جزاست 
37,33,پس آنان در آن روز، در عذاب [الهی] شریکند.,روز عذاب الهی شریکند 
38,78,و لعنت من تا روز رستاخیز بر تو خواهد بود.»,لعنت روز رستاخیز خواست 
38,81,[اما] تا روز و زمانی معین.»,روز زمانی معین 
40,18,[ای پیامبر!] مردم را از روز نزدیک بترسان! آن‌گاه که [از شدّت وحشت] جان‌ها به گلوگاه می‌رسد، در حالی که اندوه خویش را فرومی‌برند. [آن روز] ستمکاران هیچ دوست دلسوز و هیچ شفاعت‌گری که سخنش پذیرفته باشد، ندارند.,ای پیامبر مردم روز بترسان آن‌گاه شدت وحشت جان گلوگاه اندوه فرومی‌برند روز ستمکار دوست دلسوز شفاعت‌گری سخن پذیرفته 
51,6,و حتماً [روز] جزا واقع‌شدنی است.,حتما روز جزا واقع‌شدن 
